Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,punt,punt_yds,punt_yds_per_punt,awards,Year
Brooks Cormier,brooks-cormier-1,/cfb/players/brooks-cormier-1.html,Purdue,Big Ten,6,14,564,40.3,,2020
Charles Ouverson,charles-ouverson-1,/cfb/players/charles-ouverson-1.html,Coastal Carolina,Sun Belt,12,35,1410,40.3,,2020
Isaac Power,isaac-power-1,/cfb/players/isaac-power-1.html,Baylor,Big 12,9,55,2219,40.3,,2020
Ivan Mora,ivan-mora-1,/cfb/players/ivan-mora-1.html,Wake Forest,ACC,8,40,1610,40.3,,2020
Kyle Romenick,kyle-romenick-1,/cfb/players/kyle-romenick-1.html,Akron,MAC,5,29,1168,40.3,,2020
Caleb Lightbourn,caleb-lightbourn-1,/cfb/players/caleb-lightbourn-1.html,Oregon State,Pac-12,7,13,522,40.2,,2020
Ryan Harwell,ryan-harwell-1,/cfb/players/ryan-harwell-1.html,Louisville,ACC,8,19,761,40.1,,2020
Tristan Gebbia,tristan-gebbia-1,/cfb/players/tristan-gebbia-1.html,Oregon State,Pac-12,4,1,40,40.0,,2020
Ian Henzi,ian-henzi-1,/cfb/players/ian-henzi-1.html,Kent State,MAC,4,9,359,39.9,,2020
Jamieson Sheahan,jamieson-sheahan-1,/cfb/players/jamieson-sheahan-1.html,California,Pac-12,4,23,917,39.9,,2020
Kyle Thompson,kyle-thompson-1,/cfb/players/kyle-thompson-1.html,Kansas,Big 12,4,26,1037,39.9,,2020
Kolton McGhee,kolton-mcghee-1,/cfb/players/kolton-mcghee-1.html,West Virginia,Big 12,4,9,357,39.7,,2020
Tom Hutton,tom-hutton-2,/cfb/players/tom-hutton-2.html,Oklahoma State,Big 12,10,59,2340,39.7,,2020
Elijah Fischer,elijah-fischer-1,/cfb/players/elijah-fischer-1.html,San Jose State,MWC,8,33,1307,39.6,,2020
Joseph Carlson,joseph-carlson-1,/cfb/players/joseph-carlson-1.html,Air Force,MWC,5,14,555,39.6,,2020
Asher O'Hara,asher-ohara-1,/cfb/players/asher-ohara-1.html,Middle Tennessee State,CUSA,9,2,79,39.5,,2020
Griffin Fleming,griffin-fleming-1,/cfb/players/griffin-fleming-1.html,Southern Mississippi,CUSA,9,36,1421,39.5,,2020
Ross Bowers,ross-bowers-1,/cfb/players/ross-bowers-1.html,Northern Illinois,MAC,6,2,79,39.5,,2020
Cade Fuller,cade-fuller-1,/cfb/players/cade-fuller-1.html,Fresno State,MWC,4,19,748,39.4,,2020
Gavin Wale,gavin-wale-1,/cfb/players/gavin-wale-1.html,Boise State,MWC,1,7,276,39.4,,2020
Chris Naggar,chris-naggar-1,/cfb/players/chris-naggar-1.html,SMU,American,10,29,1140,39.3,,2020
Colton Spangler,colton-spangler-1,/cfb/players/colton-spangler-1.html,Maryland,Big Ten,5,13,511,39.3,,2020
Joshua Sloan,joshua-sloan-1,/cfb/players/joshua-sloan-1.html,UTEP,CUSA,8,30,1180,39.3,,2020
Matt Naranjo,matt-naranjo-1,/cfb/players/matt-naranjo-1.html,Bowling Green,MAC,4,19,747,39.3,,2020
Zach Hoover,zach-hoover-1,/cfb/players/zach-hoover-1.html,Ohio State,Big Ten,1,3,118,39.3,,2020
Charlie Scott,charlie-scott-2,/cfb/players/charlie-scott-2.html,Alabama,SEC,9,22,862,39.2,,2020
Reeves Mundschau,reeves-mundschau-1,/cfb/players/reeves-mundschau-1.html,Oklahoma,Big 12,11,38,1486,39.1,,2020
Tyler Crawford,tyler-crawford-1,/cfb/players/tyler-crawford-1.html,Nebraska,Big Ten,4,7,274,39.1,,2020
Jack Blumer,jack-blumer-1,/cfb/players/jack-blumer-1.html,Kansas State,Big 12,10,24,937,39.0,,2020
Ryan Sanborn,ryan-sanborn-1,/cfb/players/ryan-sanborn-1.html,Stanford,Pac-12,6,23,898,39.0,,2020
Ben Lennon,ben-lennon-1,/cfb/players/ben-lennon-1.html,Utah,Pac-12,4,14,544,38.9,,2020
Evan Finegan,evan-finegan-1,/cfb/players/evan-finegan-1.html,Buffalo,MAC,7,18,699,38.8,,2020
Logan Lupo,logan-lupo-1,/cfb/players/logan-lupo-1.html,Louisville,ACC,5,17,660,38.8,,2020
Nick Null,nick-null-1,/cfb/players/nick-null-1.html,Wyoming,MWC,6,29,1122,38.7,,2020
Mitchell Crawford,mitchell-crawford-1,/cfb/players/mitchell-crawford-1.html,Michigan State,Big Ten,4,9,346,38.4,,2020
Charlton Butt,charlton-butt-1,/cfb/players/charlton-butt-1.html,Nevada-Las Vegas,MWC,4,22,842,38.3,,2020
Hugh Robertson,hugh-robertson-1,/cfb/players/hugh-robertson-1.html,Illinois,Big Ten,1,1,38,38.0,,2020
Mark Crawford,mark-crawford-4,/cfb/players/mark-crawford-4.html,Minnesota,Big Ten,5,17,642,37.8,,2020
Reis Vernon,reis-vernon-1,/cfb/players/reis-vernon-1.html,Kansas,Big 12,5,38,1438,37.8,,2020
Jacob Barnes,jacob-barnes-1,/cfb/players/jacob-barnes-1.html,Louisiana Tech,CUSA,10,49,1825,37.2,,2020
Daniel Davies,daniel-davies-1,/cfb/players/daniel-davies-1.html,Navy,American,9,44,1631,37.1,,2020
Bailey Hockman,bailey-hockman-1,/cfb/players/bailey-hockman-1.html,North Carolina State,ACC,10,1,37,37.0,,2020
Brady Farlow,brady-farlow-1,/cfb/players/brady-farlow-1.html,Louisiana Tech,CUSA,2,5,185,37.0,,2020
Chad Ryland,chad-ryland-1,/cfb/players/chad-ryland-1.html,Eastern Michigan,MAC,6,1,37,37.0,,2020
Shai Werts,shai-werts-1,/cfb/players/shai-werts-1.html,Georgia Southern,Sun Belt,11,1,37,37.0,,2020
Jack Wilson,jack-wilson-4,/cfb/players/jack-wilson-4.html,Ohio,MAC,3,13,480,36.9,,2020
Kyle Coale,kyle-coale-1,/cfb/players/kyle-coale-1.html,Troy,Sun Belt,9,22,809,36.8,,2020
Donovan Gagen,donovan-gagen-1,/cfb/players/donovan-gagen-1.html,Kansas,Big 12,6,3,110,36.7,,2020
Jackson Baltar,jackson-baltar-1,/cfb/players/jackson-baltar-1.html,Buffalo,MAC,2,2,73,36.5,,2020
Zac Collins,zac-collins-1,/cfb/players/zac-collins-1.html,Purdue,Big Ten,4,10,365,36.5,,2020
Bailey Flint,bailey-flint-1,/cfb/players/bailey-flint-1.html,Toledo,MAC,6,19,692,36.4,,2020
Jared Porter,jared-porter-1,/cfb/players/jared-porter-1.html,Louisiana-Monroe,Sun Belt,3,17,617,36.3,,2020
Grant Wells,grant-wells-1,/cfb/players/grant-wells-1.html,Marshall,CUSA,10,1,36,36.0,,2020
Jake Haener,jake-haener-1,/cfb/players/jake-haener-1.html,Fresno State,MWC,6,2,72,36.0,,2020
Matias Gasc,matias-gasc-1,/cfb/players/matias-gasc-1.html,Miami (FL),ACC,1,1,36,36.0,,2020
Drew Plitt,drew-plitt-1,/cfb/players/drew-plitt-1.html,Ball State,MAC,8,4,143,35.8,,2020
Jonah Dalmas,jonah-dalmas-1,/cfb/players/jonah-dalmas-1.html,Boise State,MWC,7,5,179,35.8,,2020
Quintavius Workman,quintavius-workman-1,/cfb/players/quintavius-workman-1.html,UTEP,CUSA,5,2,71,35.5,,2020
Kenny Scribner,kenny-scribner-1,/cfb/players/kenny-scribner-1.html,South Florida,American,6,7,248,35.4,,2020
Sam Johnson,sam-johnson-10,/cfb/players/sam-johnson-10.html,Alabama,SEC,4,10,354,35.4,,2020
Sam Loy,sam-loy-1,/cfb/players/sam-loy-1.html,Arkansas,SEC,2,5,176,35.2,,2020
Jake McClure,jake-mcclure-1,/cfb/players/jake-mcclure-1.html,Oklahoma State,Big 12,11,3,105,35.0,,2020
Jordan McCloud,jordan-mccloud-1,/cfb/players/jordan-mccloud-1.html,South Florida,American,8,1,35,35.0,,2020
Liam Jones,liam-jones-1,/cfb/players/liam-jones-1.html,Kansas,Big 12,4,1,35,35.0,,2020
Matthew Stephenson,matthew-stephenson-1,/cfb/players/matthew-stephenson-1.html,Minnesota,Big Ten,7,8,279,34.9,,2020
Chevan Cordeiro,chevan-cordeiro-1,/cfb/players/chevan-cordeiro-1.html,Hawaii,MWC,9,3,104,34.7,,2020
Jalon Daniels,jalon-daniels-1,/cfb/players/jalon-daniels-1.html,Kansas,Big 12,7,1,34,34.0,,2020
Carson Strong,carson-strong-1,/cfb/players/carson-strong-1.html,Nevada,MWC,9,3,101,33.7,,2020
Ben Fee,ben-fee-1,/cfb/players/ben-fee-1.html,Navy,American,10,9,301,33.4,,2020
Jared Wheatley,jared-wheatley-1,/cfb/players/jared-wheatley-1.html,Vanderbilt,SEC,2,5,166,33.2,,2020
Daton Montiel,daton-montiel-1,/cfb/players/daton-montiel-1.html,Marshall,CUSA,2,2,66,33.0,,2020
Peter Moore,peter-moore-1,/cfb/players/peter-moore-1.html,Virginia Tech,ACC,1,3,99,33.0,,2020
Conor Schlichting,conor-schlichting-1,/cfb/players/conor-schlichting-1.html,Wisconsin,Big Ten,4,2,65,32.5,,2020
Matt Fraanje,matt-fraanje-1,/cfb/players/matt-fraanje-1.html,SMU,American,2,5,162,32.4,,2020
Bo Nix,bo-nix-1,/cfb/players/bo-nix-1.html,Auburn,SEC,11,3,97,32.3,,2020
Mason Hunt,mason-hunt-1,/cfb/players/mason-hunt-1.html,Southern Mississippi,CUSA,1,4,129,32.3,,2020
Holton Ahlers,holton-ahlers-1,/cfb/players/holton-ahlers-1.html,East Carolina,American,8,1,32,32.0,,2020
Kyle Trask,kyle-trask-1,/cfb/players/kyle-trask-1.html,Florida,SEC,12,1,32,32.0,H-4,2020
