recruit_index,recruit_id,recruit_name,recruit_year,committed_to,mapped_team,filled_athlete_id,matched_history_name,history_season_start,name_score,match_score
1671,139987,Chad Hekking,2015,Utah,Utah,-1039904,Chad Hekking,2016,1.0,1.0
1673,139985,Zeandae Johnson,2015,California,California,3863561,Zeandae Johnson,2016,1.0,1.0
1684,140001,Jordan Williams,2015,Baylor,Baylor,3928939,Jordan Williams,2016,1.0,1.0
1687,140005,Tajhea Chambers,2015,Arkansas State,Arkansas State,3917170,Tajhea Chambers,2016,1.0,1.0
1691,140007,Zachariah Hoyt,2015,Virginia Tech,Virginia Tech,4037621,Zachariah Hoyt,2016,1.0,1.0
1692,140004,Kyle-Malik Mitchell,2015,Navy,Navy,-1022780,Kyle-Malik Mitchell,2016,1.0,1.0
1703,140016,Nate Ferguson,2015,South Florida,South Florida,3923375,Nate Ferguson,2015,1.0,0.95
1705,140022,Anton Curtis,2015,Western Michigan,Western Michigan,3916716,Anton Curtis,2016,1.0,1.0
1708,140026,Devon Quincy,2015,Western Kentucky,Western Kentucky,4037565,DeVon Quincy,2016,1.0,1.0
1709,140023,Luke Ancrum,2015,Florida,Florida,3915094,Luke Ancrum,2016,1.0,1.0
1719,140034,Jace Sternberger,2015,Kansas,Kansas,3917962,Jace Sternberger,2015,1.0,0.95
1720,140038,Seth Collins,2015,Oregon State,Oregon State,3860070,Seth Collins,2015,1.0,0.95
1725,140040,Jalen Moore,2015,Oregon State,Oregon State,3930287,Jalen Moore,2016,1.0,1.0
1726,140041,Ja'Marcus Bradley,2015,Louisiana,Louisiana,3917569,Ja'Marcus Bradley,2016,1.0,1.0
1728,140046,Omar Bayless,2015,Arkansas State,Arkansas State,3917166,Omar Bayless,2016,1.0,1.0
1735,140052,Nahshon Ellerbe,2015,Rice,Rice,3916367,Nahshon Ellerbe,2016,1.0,1.0
1742,140057,Rodrigo Blankenship,2015,Georgia,Georgia,3915165,Rodrigo Blankenship,2016,1.0,1.0
1749,140064,Leroy Godfrey,2015,Houston,Houston,3914623,Leroy Godfrey,2016,1.0,1.0
1750,140068,DaVondre Love,2015,Indiana,Indiana,3929790,DaVondre Love,2016,1.0,1.0
1751,140065,Jordan Steckler,2015,Northern Illinois,Northern Illinois,3921964,Jordan Steckler,2016,1.0,1.0
1774,140085,Sam Miller,2015,UL Monroe,UL Monroe,3918244,Sam Miller,2016,1.0,1.0
1776,140083,Marquis Couch,2015,Marshall,Marshall,3931765,Marquis Couch,2016,1.0,1.0
1782,140096,Sterling Hofrichter,2015,Syracuse,Syracuse,3916449,Sterling Hofrichter,2016,1.0,1.0
1783,140099,Michael Ojemudia,2015,Iowa,Iowa,3894830,Michael Ojemudia,2016,1.0,1.0
1802,140119,Wade Meacham,2015,Utah State,Utah State,4361619,Wade Meacham,2019,1.0,0.85
1805,140120,Marcus Keyes,2015,Oklahoma State,Oklahoma State,3919606,Marcus Keyes,2016,1.0,1.0
1816,140132,Tyler Burns,2015,Kansas State,Kansas State,4036409,Tyler Burns,2017,1.0,0.95
1820,140136,Blair Manly,2015,New Mexico,New Mexico,3917099,Blair Manly,2016,1.0,1.0
