receiving_yards_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,receiving_yards,receiving_yards_per_game,comp,att,pct,receiving_touchdowns,int,rate,games_played,year,category
58,Josh,Ladowski,Josh Ladowski,/nc/mooresville/lake-norman-wildcats/athletes/josh-ladowski/football/stats/?careerid=2kqemhtl1lgi2,2kqemhtl1lgi2,QB,Lake Norman,NC,3628,3628,241.9,213,364,0.585,42,10,119,15,2014,receiving
59,Austin,Brisbee,Austin Brisbee,/or/portland/westview-wildcats/athletes/austin-brisbee/football/stats/?careerid=teome932c4mh1,teome932c4mh1,QB,Westview,OR,3627,3627,362.7,246,379,0.649,39,8,122,10,2014,receiving
60,Elijah,Sindelar,Elijah Sindelar,/ky/princeton/caldwell-county-tigers/athletes/elijah-sindelar/football/stats/?careerid=07vlj2ki20vqa,07vlj2ki20vqa,QB,Caldwell County,KY,3609,3609,277.6,206,294,0.701,49,4,146,13,2014,receiving
61,Michael,Everett,Michael Everett,/tx/odem/odem-owls/athletes/michael-everett/football/stats/?careerid=ikibv26g2cr00,ikibv26g2cr00,"QB, DB",Odem,TX,3589,3589,256.4,209,302,0.692,45,9,136,14,2014,receiving
62,Gabe,French,Gabe French,/pa/dubois/dubois-beavers/athletes/gabe-french/football/stats/?careerid=rdjgi5aour2qa,rdjgi5aour2qa,QB,DuBois,PA,3571,3571,324.6,205,294,0.697,41,11,135,11,2014,receiving
63,Kelly,Bryant,Kelly Bryant,/sc/piedmont/wren-hurricanes/athletes/kelly-bryant/football/stats/?careerid=tv53hrgregdl5,tv53hrgregdl5,"QB, ATH",Wren,SC,3570,3570,297.5,231,368,0.628,41,10,121,12,2014,receiving
64,Brandon,Jones,Brandon Jones,/ca/bakersfield/bakersfield-christian-eagles/athletes/brandon-jones/football/stats/?careerid=6ik3rrjjf41ff,6ik3rrjjf41ff,QB,Bakersfield Christian,CA,3565,3565,297.1,229,351,0.652,36,10,121,12,2014,receiving
65,Dalton,Sneed,Dalton Sneed,/az/scottsdale/horizon-huskies/athletes/dalton-sneed/football/stats/?careerid=kem4un2i3cpsc,kem4un2i3cpsc,"QB, FS",Horizon,AZ,3565,3565,324.1,217,339,0.64,28,13,111,11,2014,receiving
66,Jack,Stephens,Jack Stephens,/ca/moraga/campolindo-cougars/athletes/jack-stephens/football/stats/?careerid=6k4rmro6cep22,6k4rmro6cep22,QB,Campolindo,CA,3564,3564,222.8,179,291,0.615,37,10,130,16,2014,receiving
67,Brock,Humphrey,Brock Humphrey,/ar/harrison/harrison-goblins/athletes/brock-humphrey/football/stats/?careerid=0759jjr254gm6,0759jjr254gm6,QB,Harrison,AR,3562,3562,323.8,238,408,0.583,44,9,114,11,2014,receiving
