sacks_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,yds,yds_g,comp,att,pct,td,int,rate,games_played,year,category
311,Jacob,Westphal,Jacob Westphal,/ca/moraga/campolindo-cougars/athletes/jacob-westphal/football/stats/?careerid=1s39e4hqb6eo8,1s39e4hqb6eo8,QB,Campolindo,CA,2726,2726,170.4,162,292,0.555,31,12,105,16,2015,sacks
312,Jaiave,Magalei,Jaiave Magalei,/wa/lakewood/lakes-lancers/athletes/jaiave-magalei/football/stats/?careerid=gieb237v8mhp9,gieb237v8mhp9,QB,Lakes,WA,2725,2725,227.1,159,249,0.639,28,4,132,12,2015,sacks
313,Micah,Maxey,Micah Maxey,/ga/lawrenceville/central-gwinnett-black-knights/athletes/micah-maxey/football/stats/?careerid=2id5duv4t5l44,2id5duv4t5l44,QB,Central Gwinnett,GA,2724,2724,227.0,196,341,0.575,30,11,99,12,2015,sacks
314,Andrew,Kalahar,Andrew Kalahar,/wa/arlington/arlington-eagles/athletes/andrew-kalahar/football/stats/?careerid=0ipk764lat6cc,0ipk764lat6cc,QB,Arlington,WA,2723,2723,272.3,210,324,0.648,27,9,107,10,2015,sacks
315,Braeden,Bourke,Braeden Bourke,/ca/sacramento/christian-brothers-falcons/athletes/braeden-bourke/football/stats/?careerid=rkg73t3tlbvo8,rkg73t3tlbvo8,"QB, S",Christian Brothers,CA,2719,2719,226.6,186,316,0.589,27,11,101,12,2015,sacks
316,Peter,Muskett,Peter Muskett,/va/springfield/west-springfield-spartans/athletes/peter-muskett/football/stats/?careerid=kr4lc6r55eqm6,kr4lc6r55eqm6,QB,West Springfield,VA,2717,2717,247.0,179,283,0.633,26,7,115,11,2015,sacks
317,Matt,Struck,Matt Struck,/or/central-point/crater-comets/athletes/matt-struck/football/stats/?careerid=m7t825u1nufsc,m7t825u1nufsc,QB,Crater,OR,2717,2717,226.4,176,312,0.564,19,9,94,12,2015,sacks
318,Tate,Kolwyck,Tate Kolwyck,/tn/arlington/arlington-tigers/athletes/tate-kolwyck/football/stats/?careerid=b6hbmqtab65qa,b6hbmqtab65qa,QB,Arlington,TN,2716,2716,246.9,199,335,0.594,29,12,99,11,2015,sacks
319,Chase,Garbers,Chase Garbers,/ca/newport-beach/corona-del-mar-sea-kings/athletes/chase-garbers/football/stats/?careerid=fd2mplimk7g33,fd2mplimk7g33,QB,Corona del Mar,CA,2715,2715,226.2,226,329,0.687,33,3,123,12,2015,sacks
320,Reggie,Stewart,Reggie Stewart,/ms/waynesboro/wayne-county-war-eagleslady-war-eagles/athletes/reggie-stewart/football/stats/?careerid=slpf9v0g9cacc,slpf9v0g9cacc,"QB, WR",Wayne County,MS,2714,2714,180.9,160,279,0.573,27,9,109,15,2015,sacks
321,Kyle,Banks,Kyle Banks,/ga/dallas/north-paulding-wolfpack/athletes/kyle-banks/football/stats/?careerid=ormtcqqiod477,ormtcqqiod477,QB,North Paulding,GA,2713,2713,246.6,217,370,0.586,24,11,91,11,2015,sacks
322,Tony,Murphy,Tony Murphy,/ca/citrus-heights/san-juan-spartans/athletes/tony-murphy/football/stats/?careerid=oqlnh1uvurep9,oqlnh1uvurep9,QB,San Juan,CA,2712,2712,271.2,184,381,0.483,22,15,75,10,2015,sacks
323,A.j.,Davis,A.j. Davis,/wa/clarkston/clarkston-bantams/athletes/aj-davis/football/stats/?careerid=mm3q43u38p633,mm3q43u38p633,QB,Clarkston,WA,2711,2711,246.5,188,323,0.582,27,11,99,11,2015,sacks
324,Lance,Dinatale,Lance Dinatale,/ct/milford/foran-lions/athletes/lance-dinatale/football/stats/?careerid=ur6oerned5jg0,ur6oerned5jg0,QB,Foran,CT,2707,2707,270.7,185,262,0.706,26,16,112,10,2015,sacks
325,Luke,Skipper,Luke Skipper,/tx/forney/forney-jackrabbits/athletes/luke-skipper/football/stats/?careerid=7maiuassguj99,7maiuassguj99,"QB, WR",Forney,TX,2706,2706,225.5,175,299,0.585,33,4,120,12,2015,sacks
326,Andrew,Tomko,Andrew Tomko,/pa/sharon/sharon-tigers/athletes/andrew-tomko/football/stats/?careerid=o49fk57c5laj3,o49fk57c5laj3,QB,Sharon,PA,2701,2701,225.1,163,280,0.582,29,5,118,12,2015,sacks
327,Steven,Comstock,Steven Comstock,/ca/covina/northview-vikings/athletes/steven-comstock/football/stats/?careerid=ultnq8srdi6ff,ultnq8srdi6ff,QB,Northview,CA,2698,2698,224.8,168,261,0.644,31,7,127,12,2015,sacks
328,Jake,Vincent,Jake Vincent,/il/hampshire/hampshire-whip-purs/athletes/jake-vincent/football/stats/?careerid=t75hmv076a8qa,t75hmv076a8qa,QB,Hampshire,IL,2697,2697,269.7,194,333,0.583,31,13,99,10,2015,sacks
329,Jack,Sears,Jack Sears,/ca/san-clemente/san-clemente-tritons/athletes/jack-sears/football/stats/?careerid=js6fn2i97btff,js6fn2i97btff,"QB, P",San Clemente,CA,2697,2697,192.6,193,270,0.715,37,2,140,14,2015,sacks
330,Emilio,Ames,Emilio Ames,/tx/wylie/wylie-pirates/athletes/emilio-ames/football/stats/?careerid=k1eiflkavnnm6,k1eiflkavnnm6,QB,Wylie,TX,2697,2697,224.8,189,357,0.529,19,11,83,12,2015,sacks
331,Jayden,Daniels,Jayden Daniels,/ca/san-bernardino/cajon-cowboys/athletes/jayden-daniels/football/stats/?careerid=i1rqeg40hv6l5,i1rqeg40hv6l5,QB,Cajon,CA,2694,2694,207.2,169,301,0.561,35,10,111,13,2015,sacks
332,Tyler,Smith,Tyler Smith,/nc/pilot-mountain/east-surry-cardinals/athletes/tyler-smith/football/stats/?careerid=ucjpgg614aum6,ucjpgg614aum6,"QB, P",East Surry,NC,2693,2693,192.4,146,237,0.616,31,8,126,14,2015,sacks
