Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,rush_att,rush_yds,rush_yds_per_att,rush_td,rush_yds_per_g,rec,rec_yds,rec_yds_per_rec,rec_td,rec_yds_per_g,scrim_att,yds_from_scrimmage,scrim_yds_per_att,scrim_td,awards,Year
Travis Dye,travis-dye-1,/cfb/players/travis-dye-1.html,Oregon,Pac-12,13,140,739,5.3,4,56.8,12,69,5.8,1,5.3,152,808,5.3,5,,2018
Kylin Hill,kylin-hill-1,/cfb/players/kylin-hill-1.html,Mississippi State,SEC,11,117,734,6.3,4,66.7,22,176,8.0,4,16.0,139,910,6.5,8,,2018
Rakeem Boyd,rakeem-boyd-2,/cfb/players/rakeem-boyd-2.html,Arkansas,SEC,12,123,734,6.0,2,61.2,23,165,7.2,0,13.8,146,899,6.2,2,,2018
AJ Bush,aj-bush-1,/cfb/players/aj-bush-1.html,Illinois,Big Ten,10,138,733,5.3,8,73.3,0,0,,0,0.0,138,733,5.3,8,,2018
C.J. Marable,torrance-marable-1,/cfb/players/torrance-marable-1.html,Coastal Carolina,Sun Belt,12,118,719,6.1,6,59.9,15,180,12.0,2,15.0,133,899,6.8,8,,2018
Izzy Matthews,izzy-matthews-1,/cfb/players/izzy-matthews-1.html,Colorado State,MWC,12,166,717,4.3,4,59.8,27,169,6.3,1,14.1,193,886,4.6,5,,2018
Adrian Killins,adrian-killins-1,/cfb/players/adrian-killins-1.html,UCF,American,13,147,715,4.9,4,55.0,19,377,19.8,4,29.0,166,1092,6.6,8,,2018
Damarea Crockett,damarea-crockett-1,/cfb/players/damarea-crockett-1.html,Missouri,SEC,12,147,709,4.8,7,59.1,12,88,7.3,1,7.3,159,797,5.0,8,,2018
Keaontay Ingram,keaontay-ingram-1,/cfb/players/keaontay-ingram-1.html,Texas,Big 12,13,142,708,5.0,3,54.5,27,170,6.3,2,13.1,169,878,5.2,5,,2018
Cam Akers,cam-akers-1,/cfb/players/cam-akers-1.html,Florida State,ACC,12,161,706,4.4,6,58.8,23,145,6.3,2,12.1,184,851,4.6,8,,2018
Andrew Clair,andrew-clair-1,/cfb/players/andrew-clair-1.html,Bowling Green,MAC,11,135,702,5.2,5,63.8,19,102,5.4,2,9.3,154,804,5.2,7,,2018
Jaquis Dancy,jaquis-dancy-1,/cfb/players/jaquis-dancy-1.html,Louisiana Tech,CUSA,11,124,689,5.6,9,62.6,16,140,8.8,1,12.7,140,829,5.9,10,,2018
Tyrone Owens,tyrone-owens-1,/cfb/players/tyrone-owens-1.html,New Mexico,MWC,12,186,687,3.7,6,57.3,7,54,7.7,1,4.5,193,741,3.8,7,,2018
Napoleon Maxwell,napoleon-maxwell-1,/cfb/players/napoleon-maxwell-1.html,Florida International,CUSA,13,128,684,5.3,7,52.6,9,38,4.2,0,2.9,137,722,5.3,7,,2018
D'Eriq King,deriq-king-1,/cfb/players/deriq-king-1.html,Houston,American,11,111,674,6.1,14,61.3,1,12,12.0,0,1.1,112,686,6.1,14,,2018
Derrick Gore,derrick-gore-1,/cfb/players/derrick-gore-1.html,Louisiana-Monroe,Sun Belt,12,131,662,5.1,6,55.2,21,80,3.8,0,6.7,152,742,4.9,6,,2018
Marcus Outlow,marcus-outlow-1,/cfb/players/marcus-outlow-1.html,Coastal Carolina,Sun Belt,10,133,661,5.0,8,66.1,11,70,6.4,0,7.0,144,731,5.1,8,,2018
James Gilbert,james-gilbert-2,/cfb/players/james-gilbert-2.html,Ball State,MAC,11,152,659,4.3,7,59.9,15,88,5.9,0,8.0,167,747,4.5,7,,2018
Jordan Mason,jordan-mason-1,/cfb/players/jordan-mason-1.html,Georgia Tech,ACC,13,108,659,6.1,7,50.7,1,2,2.0,0,0.2,109,661,6.1,7,,2018
Clyde Edwards-Helaire,clyde-edwards-helaire-1,/cfb/players/clyde-edwards-helaire-1.html,LSU,SEC,13,146,658,4.5,7,50.6,11,96,8.7,0,7.4,157,754,4.8,7,,2018
Jo-El Shaw,jo-el-shaw-1,/cfb/players/jo-el-shaw-1.html,Kent State,MAC,10,138,657,4.8,7,65.7,9,84,9.3,2,8.4,147,741,5.0,9,,2018
