Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,rec,rec_yds,rec_yds_per_rec,rec_td,rec_yds_per_g,rush_att,rush_yds,rush_yds_per_att,rush_td,rush_yds_per_g,scrim_att,yds_from_scrimmage,scrim_yds_per_att,scrim_td,awards,Year
Devin Gray,devin-gray-1,/cfb/players/devin-gray-1.html,Cincinnati,American,12,58,860,14.8,5,71.7,3,-2,-0.7,0,-0.2,61,858,14.1,5,,2016
Drew Wolitarsky,drew-wolitarsky-1,/cfb/players/drew-wolitarsky-1.html,Minnesota,Big Ten,13,66,860,13.0,5,66.2,3,6,2.0,0,0.5,69,866,12.6,5,,2016
Steven Sims Jr.,steven-sims-jr-1,/cfb/players/steven-sims-jr-1.html,Kansas,Big 12,12,72,859,11.9,7,71.6,2,-9,-4.5,0,-0.8,74,850,11.5,7,,2016
Tre'Quan Smith,trequan-smith-1,/cfb/players/trequan-smith-1.html,UCF,American,13,57,853,15.0,5,65.6,0,0,,0,0.0,57,853,15.0,5,,2016
Ricky Jones,ricky-jones-1,/cfb/players/ricky-jones-1.html,Indiana,Big Ten,13,53,848,16.0,3,65.2,1,5,5.0,0,0.4,54,853,15.8,3,,2016
Travis Rudolph,travis-rudolph-1,/cfb/players/travis-rudolph-1.html,Florida State,ACC,13,56,840,15.0,7,64.6,0,0,,0,0.0,56,840,15.0,7,,2016
Bruce Natson,bruce-natson-1,/cfb/players/bruce-natson-1.html,Akron,MAC,12,59,837,14.2,10,69.8,4,6,1.5,0,0.5,63,843,13.4,10,,2016
Bug Howard,bug-howard-1,/cfb/players/bug-howard-1.html,North Carolina,ACC,13,53,827,15.6,8,63.6,0,0,,0,0.0,53,827,15.6,8,,2016
Dante Pettis,dante-pettis-1,/cfb/players/dante-pettis-1.html,Washington,Pac-12,14,53,822,15.5,15,58.7,0,0,,0,0.0,53,822,15.5,15,,2016
Ervin Philips,ervin-phillips-1,/cfb/players/ervin-phillips-1.html,Syracuse,ACC,12,90,822,9.1,6,68.5,6,18,3.0,1,1.5,96,840,8.8,7,,2016
Josh Magee,josh-magee-1,/cfb/players/josh-magee-1.html,South Alabama,Sun Belt,12,49,822,16.8,5,68.5,0,0,,0,0.0,49,822,16.8,5,,2016
