Player_ID,Player,pos_norm,latest_school,schools_played,seasons_count,games_total,sos_season_weighted,award_count,awards,heisman_finish,games_rushing,games_receiving,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,yds_from_scrimmage,scrim_td,award_aa,award_john_mackey_award_most_outstanding_tight_end,award_mac_offensive_player_of_the_year,award_vern_smith_leadership_award
garrett-walston-1,Garrett Walston,TE,North Carolina,North Carolina,5,50.0,1.1041999999999998,0.0,,0,13.0,45.0,1.0,18.0,0.0,47.0,534.0,5.0,202.0,2.0,0,0,0,0
gavin-bartholomew-1,Gavin Bartholomew,TE,Pitt,Pitt,4,50.0,1.1454,0.0,,0,13.0,50.0,1.0,2.0,0.0,105.0,1257.0,11.0,324.0,4.0,0,0,0,0
giovanni-fauolo-1,Giovanni Fauolo,TE,Nevada-Las Vegas,Nevada-Las Vegas,5,50.0,-3.4551999999999996,0.0,,0,0.0,50.0,0.0,0.0,0.0,77.0,729.0,5.0,0.0,0.0,0,0,0,0
james-della-pesca-1,James Della Pesca,TE,Temple,Temple,5,50.0,-2.5784000000000002,0.0,,0,0.0,33.0,0.0,0.0,0.0,17.0,148.0,0.0,0.0,0.0,0,0,0,0
john-raine-1,John Raine,TE,Northwestern,Florida Atlantic|Northwestern,5,50.0,-2.798,0.0,,0,0.0,50.0,0.0,0.0,0.0,80.0,763.0,9.0,0.0,0.0,0,0,0,0
justin-ball-1,Justin Ball,TE,Mississippi State,Mississippi State|Vanderbilt,6,50.0,4.9642,0.0,,0,12.0,50.0,1.0,-5.0,0.0,31.0,281.0,1.0,126.0,1.0,0,0,0,0
kelvin-smith-3,Kelvin Smith,TE,North Texas,North Texas,5,50.0,-4.6696,0.0,,0,0.0,48.0,0.0,0.0,0.0,76.0,701.0,3.0,0.0,0.0,0,0,0,0
marshall-lang-2,Marshall Lang,TE,Northwestern,Northwestern,5,50.0,3.8126000000000007,0.0,,0,12.0,47.0,1.0,3.0,0.0,48.0,491.0,4.0,118.0,1.0,0,0,0,0
marshon-ford-1,Marshon Ford,TE,Louisville,Louisville,5,50.0,2.3394,0.0,,0,0.0,49.0,0.0,0.0,0.0,127.0,1585.0,18.0,0.0,0.0,0,0,0,0
moliki-matavao-1,Moliki Matavao,TE,UCLA,Oregon|UCLA,4,50.0,3.7645999999999997,0.0,,0,12.0,50.0,1.0,3.0,1.0,74.0,998.0,6.0,137.0,2.0,0,0,0,0
nic-weishar-1,Nic Weishar,TE,Notre Dame,Notre Dame,4,50.0,6.078199999999999,0.0,,0,0.0,49.0,0.0,0.0,0.0,18.0,128.0,4.0,0.0,0.0,0,0,0,0
sam-olson-1,Sam Olson,TE,Arizona,Arizona|San Jose State,6,50.0,-0.6990000000000001,0.0,,0,0.0,50.0,0.0,0.0,0.0,75.0,925.0,10.0,0.0,0.0,0,0,0,0
tommy-sweeney-1,Tommy Sweeney,TE,Boston College,Boston College,4,50.0,2.9044,0.0,,0,0.0,50.0,0.0,0.0,0.0,99.0,1281.0,10.0,0.0,0.0,0,0,0,0
treyton-welch-1,Treyton Welch,TE,Wyoming,Wyoming,5,50.0,-4.1133999999999995,0.0,,0,0.0,43.0,0.0,0.0,0.0,77.0,874.0,9.0,0.0,0.0,0,0,0,0
tyler-mabry-2,Tyler Mabry,TE,Maryland,Buffalo|Maryland,5,50.0,-3.0027999999999997,0.0,,0,0.0,50.0,0.0,0.0,0.0,73.0,722.0,6.0,0.0,0.0,0,0,0,0
