Player_ID,Player,pos_norm,latest_school,schools_played,seasons_count,games_total,sos_season_weighted,award_count,awards,heisman_finish,games_defense,games_pff,tackles_combined,tackles_loss,sacks,def_int,pass_defended,fumbles_forced,award_aa,award_aac_defensive_player_of_the_year,award_acc_defensive_player_of_the_year,award_bednarik,award_big_12_defensive_player_of_the_year,award_big_ten_defensive_player_of_the_year,award_bronko_nagurski_award_most_outstanding_defensive_player,award_cusa_defensive_player_of_the_year,award_chuck_bednarik_award_defensive_player_of_the_year,award_john_outland_trophy_most_outstanding_interior_lineman,award_mac_defensive_player_of_the_year,award_mwc_defensive_player_of_the_year,award_nagurski,award_pac_12_defensive_player_of_the_year,award_ronnie_lott_trophy_defensive_impact_player_of_the_year,award_sec_defensive_player_of_the_year,award_sun_belt_defensive_player_of_the_year,award_sun_belt_player_of_the_year,award_ted_hendricks_award_defensive_end_of_the_year_award,award_vern_smith_leadership_award,award_vince_lombardi_award_lineman_of_the_year
kevin-hester-jr-1,Kevin Hester Jr.,IDL,North Carolina,North Carolina,6,62.0,0.426774193548387,0.0,,0,60.0,57.0,150.0,9.0,5.0,0.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kristian-williams-1,Kristian Williams,IDL,Missouri,Missouri|Oregon,6,62.0,3.0890322580645164,0.0,,0,62.0,56.0,105.0,12.0,2.0,0.0,5.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mason-narcisse-1,Mason Narcisse,IDL,Louisiana,Louisiana,5,62.0,-1.506290322580645,0.0,,0,62.0,0.0,130.0,12.0,5.0,1.0,3.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maurice-strong-jr-1,Maurice Strong Jr.,IDL,South Alabama,South Alabama,7,62.0,-3.6141935483870964,0.0,,0,60.0,61.0,88.0,14.5,3.5,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
will-choloh-jr-1,Will Choloh Jr.,IDL,Troy,Troy,5,62.0,-3.5701612903225803,0.0,,0,62.0,59.0,201.0,33.5,20.0,0.0,0.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
demond-taylor-1,Demond Taylor,IDL,Northern Illinois,Northern Illinois,6,61.0,-2.9965573770491805,0.0,,0,61.0,58.0,106.0,13.5,3.0,0.0,5.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dvon-ellies-1,Dvon Ellies,IDL,Penn State,Penn State,6,61.0,5.15344262295082,0.0,,0,61.0,0.0,98.0,13.5,2.5,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
george-wolo-1,George Wolo,IDL,Buffalo,Buffalo,6,61.0,-5.966393442622952,0.0,,0,61.0,57.0,127.0,19.0,13.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
immanuel-bush-1,Immanuel Bush,IDL,James Madison,James Madison|Marshall,6,61.0,-4.418524590163934,0.0,,0,60.0,57.0,112.0,20.5,8.0,1.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
john-morgan-1,John Morgan,IDL,Arkansas,Arkansas|Pitt,5,61.0,0.3601639344262295,0.0,,0,61.0,58.0,88.0,27.0,16.0,0.0,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
josh-fuga-1,Josh Fuga,IDL,Virginia Tech,Virginia Tech,6,61.0,1.6990163934426232,0.0,,0,60.0,58.0,70.0,11.0,4.0,0.0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kurt-hinish-1,Kurt Hinish,IDL,Notre Dame,Notre Dame,5,61.0,4.5,0.0,,0,61.0,55.0,83.0,20.0,7.5,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luis-medina-1,Luis Medina,IDL,Troy,Troy,6,61.0,-2.008032786885246,0.0,,0,61.0,57.0,137.0,11.5,7.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marcus-brown-5,Marcus Brown,IDL,Cincinnati,Cincinnati,5,61.0,-0.5657377049180329,0.0,,0,60.0,54.0,98.0,12.5,4.5,0.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mckinley-williams-1,McKinley Williams,IDL,Syracuse,Syracuse,6,61.0,2.8549180327868853,0.0,,0,61.0,61.0,121.0,21.0,4.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
norell-pollard-1,Norell Pollard,IDL,Virginia Tech,Virginia Tech,5,61.0,0.2181967213114755,0.0,,0,61.0,58.0,118.0,22.0,12.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
omari-thomas-1,Omari Thomas,IDL,Tennessee,Tennessee,5,61.0,4.302786885245902,0.0,,0,61.0,58.0,116.0,17.0,5.0,0.0,13.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rondell-bothroyd-1,Rondell Bothroyd,IDL,Oklahoma,Oklahoma|Wake Forest,6,61.0,2.0472131147540984,0.0,,0,61.0,56.0,161.0,34.0,16.5,0.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rylie-mills-1,Rylie Mills,IDL,Notre Dame,Notre Dame,5,61.0,3.8555737704918034,0.0,,0,61.0,57.0,131.0,25.0,17.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tonka-hemingway-1,Tonka Hemingway,IDL,South Carolina,South Carolina,5,61.0,4.894098360655738,0.0,,0,61.0,57.0,112.0,17.5,9.5,0.0,11.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trajan-jeffcoat-1,Trajan Jeffcoat,IDL,Arkansas,Arkansas|Missouri,6,61.0,4.335737704918033,0.0,,0,61.0,55.0,103.0,28.0,15.5,0.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tremon-morris-brash-1,Tre'mon Morris-Brash,IDL,UCF,UCF,5,61.0,-0.659016393442623,0.0,,0,61.0,55.0,182.0,58.5,26.0,1.0,6.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tyree-turner-1,Tyree Turner,IDL,UAB,South Alabama|UAB,7,61.0,-3.4186885245901637,0.0,,0,60.0,59.0,174.0,32.0,14.5,0.0,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zaylin-wood-1,Zaylin Wood,IDL,Vanderbilt,Middle Tennessee State|Vanderbilt,7,61.0,-3.1275409836065573,0.0,,0,61.0,57.0,129.0,23.5,15.0,3.0,7.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aaron-faumui-1,Aaron Faumui,IDL,Virginia,Virginia,6,60.0,2.0576666666666665,0.0,,0,60.0,58.0,134.0,27.5,10.0,0.0,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aeneas-peebles-1,Aeneas Peebles,IDL,Virginia Tech,Duke|Virginia Tech,5,60.0,0.9283333333333333,0.0,,0,60.0,56.0,118.0,20.0,11.5,0.0,6.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
david-green-11,David Green,IDL,Pitt,Pitt,6,60.0,0.7268333333333333,0.0,,0,60.0,56.0,92.0,13.5,8.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jeffery-clark-1,Jeffery Clark,IDL,Arizona State,Arizona State|Georgia State|Louisville,6,60.0,-0.0056666666666667235,0.0,,0,60.0,0.0,129.0,24.0,9.5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keivie-rose-1,Keivie Rose,IDL,Arkansas,Arkansas|Louisiana Tech,6,60.0,-1.2105000000000001,0.0,,0,59.0,58.0,107.0,14.5,6.0,0.0,4.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kennedy-roberts-1,Kennedy Roberts,IDL,Coastal Carolina,Coastal Carolina,5,60.0,-4.415166666666666,0.0,,0,60.0,0.0,76.0,7.0,3.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keyon-ware-hudson-1,Keyon Ware-Hudson,IDL,Oregon,Oregon,6,60.0,3.1235,0.0,,0,60.0,53.0,78.0,10.0,4.0,0.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miles-fox-1,Miles Fox,IDL,Wake Forest,Old Dominion|Wake Forest,7,60.0,-4.1161666666666665,0.0,,0,60.0,55.0,174.0,34.0,14.5,0.0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
terrell-cooper-1,Terrell Cooper,IDL,Texas Christian,Texas Christian,6,60.0,4.744833333333333,0.0,,0,60.0,56.0,104.0,13.5,4.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tyler-bentley-1,Tyler Bentley,IDL,Pitt,Pitt,6,60.0,0.7221666666666666,0.0,,0,60.0,56.0,78.0,10.5,3.5,0.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brandon-matterson-1,Brandon Matterson,IDL,UTSA,UTSA,6,59.0,-3.510169491525424,0.0,,0,59.0,55.0,101.0,15.5,7.5,0.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cam-horsley-1,Cam Horsley,IDL,Boston College,Boston College,5,59.0,0.8640677966101695,0.0,,0,59.0,58.0,164.0,18.5,3.5,0.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chibueze-onwuka-1,Chibueze Onwuka,IDL,Boston College,Boston College|Buffalo,6,59.0,-2.8833898305084746,0.0,,0,58.0,56.0,128.0,22.5,8.5,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jowon-briggs-1,Jowon Briggs,IDL,Cincinnati,Cincinnati|Virginia,5,59.0,0.466271186440678,0.0,,0,59.0,54.0,170.0,21.5,12.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
