Player_ID,Player,pos_norm,latest_school,schools_played,seasons_count,games_total,sos_season_weighted,award_count,awards,heisman_finish,games_defense,games_pff,tackles_combined,tackles_loss,sacks,def_int,pass_defended,fumbles_forced,award_aa,award_aac_defensive_player_of_the_year,award_acc_defensive_player_of_the_year,award_bednarik,award_big_12_defensive_player_of_the_year,award_big_ten_defensive_player_of_the_year,award_bronko_nagurski_award_most_outstanding_defensive_player,award_cusa_defensive_player_of_the_year,award_chuck_bednarik_award_defensive_player_of_the_year,award_mac_defensive_player_of_the_year,award_nagurski,award_ronnie_lott_trophy_defensive_impact_player_of_the_year,award_sec_defensive_player_of_the_year,award_sun_belt_defensive_player_of_the_year,award_sun_belt_player_of_the_year,award_ted_hendricks_award_defensive_end_of_the_year_award,award_vern_smith_leadership_award,award_vince_lombardi_award_lineman_of_the_year
tim-ward-1,Tim Ward,EDGE,Old Dominion,Old Dominion,4,47.0,-6.674255319148936,0.0,,0,47.0,46.0,126.0,30.5,14.0,1.0,7.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adisa-isaac-1,Adisa Isaac,EDGE,Penn State,Penn State,5,46.0,4.236739130434782,0.0,,0,46.0,42.0,92.0,31.5,14.5,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bryan-thomas-jr-1,Bryan Thomas Jr.,EDGE,South Carolina,South Carolina,4,46.0,5.067391304347827,0.0,,0,46.0,42.0,92.0,19.5,12.5,0.0,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cameron-sample-1,Cameron Sample,EDGE,Tulane,Tulane,4,46.0,-1.3415217391304346,0.0,,0,46.0,0.0,162.0,21.0,10.5,0.0,9.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
griffin-riggs-1,Griffin Riggs,EDGE,Arkansas State,Arkansas State,4,46.0,-5.151739130434782,0.0,,0,46.0,43.0,34.0,5.5,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kevin-bronson-1,Kevin Bronson,EDGE,South Florida,South Florida,4,46.0,-3.0591304347826087,0.0,,0,44.0,45.0,88.0,16.5,5.5,1.0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
korey-rush-1,Korey Rush,EDGE,Nevada,Nevada,4,46.0,-4.729565217391304,0.0,,0,46.0,44.0,109.0,26.5,10.5,0.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matthew-ydarraga-1,Matthew Ydarraga,EDGE,Louisiana Tech,Louisiana Tech,4,46.0,-4.358260869565218,0.0,,0,46.0,41.0,68.0,7.5,4.0,0.0,4.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
raam-stevenson-1,Raam Stevenson,EDGE,Washington State,Washington State,5,46.0,0.10739130434782604,0.0,,0,45.0,42.0,48.0,6.0,3.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sabastian-harsh-1,Sabastian Harsh,EDGE,North Carolina State,North Carolina State|Wyoming,6,46.0,-0.6804347826086954,0.0,,0,46.0,32.0,138.0,25.0,7.0,0.0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smith-vilbert-1,Smith Vilbert,EDGE,North Carolina,North Carolina|Penn State,7,46.0,4.4052173913043475,0.0,,0,44.0,42.0,42.0,14.0,5.5,0.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
theodore-eboigbe-1,Theodore Eboigbe,EDGE,Kent State,Kent State,4,46.0,-2.6669565217391304,0.0,,0,46.0,0.0,103.0,15.5,6.5,0.0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
