Player_ID,Player,School,Year,pos,pos_norm,games_total,award_count,sos,games_rushing,games_receiving,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,yds_from_scrimmage,scrim_td,awards,heisman_finish,award_aa,award_john_mackey_award_most_outstanding_tight_end,award_mac_offensive_player_of_the_year,award_vern_smith_leadership_award
laquan-mcgowan-1,Laquan McGowan,Baylor,2015,TE,TE,13.0,0.0,0.31,13.0,13.0,1.0,2.0,0.0,2.0,23.0,2.0,25.0,2.0,,0,0,0,0,0
lee-bristow-1,Lee Bristow,Baylor,2015,TE,TE,13.0,0.0,0.31,,,,,,,,,,,,0,0,0,0,0
sam-tecklenburg-1,Sam Tecklenburg,Baylor,2015,TE,TE,0.0,0.0,0.31,,,,,,,,,,,,0,0,0,0,0
trevon-armstead-1,Tre'Von Armstead,Baylor,2015,TE,TE,1.0,0.0,0.31,,,,,,,,,,,,0,0,0,0,0
trevor-clemons-valdez-1,Trevor Clemons-Valdez,Baylor,2015,TE,TE,9.0,0.0,0.31,,9.0,,,,1.0,9.0,1.0,,,,0,0,0,0,0
alec-dhaenens-1,Alec Dhaenens,Boise State,2015,TE,TE,13.0,0.0,-4.66,,13.0,,,,2.0,22.0,1.0,,,,0,0,0,0,0
chase-blakley-1,Chase Blakley,Boise State,2015,TE,TE,0.0,0.0,-4.66,,,,,,,,,,,,0,0,0,0,0
david-lucero-1,David Lucero,Boise State,2015,TE,TE,11.0,0.0,-4.66,,11.0,,,,4.0,63.0,0.0,,,,0,0,0,0,0
holden-huff-1,Holden Huff,Boise State,2015,TE,TE,13.0,0.0,-4.66,,13.0,,,,18.0,243.0,3.0,,,,0,0,0,0,0
jake-hardee-1,Jake Hardee,Boise State,2015,TE,TE,13.0,0.0,-4.66,,13.0,,,,2.0,51.0,1.0,,,,0,0,0,0,0
jake-knight-1,Jake Knight,Boise State,2015,TE,TE,0.0,0.0,-4.66,,,,,,,,,,,,0,0,0,0,0
jake-roh-1,Jake Roh,Boise State,2015,TE,TE,13.0,0.0,-4.66,,13.0,,,,33.0,357.0,1.0,,,,0,0,0,0,0
matt-pistone-1,Matt Pistone,Boise State,2015,TE,TE,0.0,0.0,-4.66,,,,,,,,,,,,0,0,0,0,0
austin-chapman-1,Austin Chapman,Boston College,2015,TE,TE,3.0,0.0,2.11,,,,,,,,,,,,0,0,0,0,0
cameron-croteau-1,Cameron Croteau,Boston College,2015,TE,TE,2.0,0.0,2.11,,,,,,,,,,,,0,0,0,0,0
jake-burt-1,Jake Burt,Boston College,2015,TE,TE,9.0,0.0,2.11,,9.0,,,,1.0,7.0,0.0,,,,0,0,0,0,0
louie-addazio-1,Louie Addazio,Boston College,2015,TE,TE,10.0,0.0,2.11,,,,,,,,,,,,0,0,0,0,0
michael-giacone-1,Michael Giacone,Boston College,2015,TE,TE,0.0,0.0,2.11,,,,,,,,,,,,0,0,0,0,0
tommy-sweeney-1,Tommy Sweeney,Boston College,2015,TE,TE,12.0,0.0,2.11,,12.0,,,,5.0,68.0,0.0,,,,0,0,0,0,0
derek-lee-1,Derek Lee,Bowling Green,2015,TE,TE,14.0,0.0,-0.34,,14.0,,,,18.0,108.0,3.0,,,,0,0,0,0,0
hunter-folkertsma-1,Hunter Folkertsma,Bowling Green,2015,TE,TE,14.0,0.0,-0.34,,14.0,,,,2.0,14.0,2.0,,,,0,0,0,0,0
vito-sosic-1,Vito Sosic,Bowling Green,2015,TE,TE,0.0,0.0,-0.34,,,,,,,,,,,,0,0,0,0,0
kevin-rogers-1,Kevin Rogers,Buffalo,2015,TE,TE,6.0,0.0,-4.56,,,,,,,,,,,,0,0,0,0,0
kyle-nagel-1,Kyle Nagel,Buffalo,2015,TE,TE,0.0,0.0,-4.56,,,,,,,,,,,,0,0,0,0,0
mason-schreck-1,Mason Schreck,Buffalo,2015,TE,TE,10.0,0.0,-4.56,,9.0,,,,21.0,209.0,0.0,,,,0,0,0,0,0
matt-seybert-1,Matt Seybert,Buffalo,2015,TE,TE,0.0,0.0,-4.56,,,,,,,,,,,,0,0,0,0,0
matt-weiser-1,Matt Weiser,Buffalo,2015,TE,TE,12.0,0.0,-4.56,,12.0,,,,63.0,625.0,3.0,,,,0,0,0,0,0
tyler-mabry-2,Tyler Mabry,Buffalo,2015,TE,TE,0.0,0.0,-4.56,,,,,,,,,,,,0,0,0,0,0
frank-kapp-1,Frank Kapp,California,2015,TE,TE,0.0,0.0,4.92,,,,,,,,,,,,0,0,0,0,0
jake-ashton-1,Jake Ashton,California,2015,TE,TE,1.0,0.0,4.92,,,,,,,,,,,,0,0,0,0,0
kyle-wells-1,Kyle Wells,California,2015,TE,TE,2.0,0.0,4.92,,,,,,,,,,,,0,0,0,0,0
nick-palleschi-1,Nick Palleschi,California,2015,TE,TE,0.0,0.0,4.92,,,,,,,,,,,,0,0,0,0,0
raymond-hudson-1,Raymond Hudson,California,2015,TE,TE,13.0,0.0,4.92,,13.0,,,,10.0,140.0,0.0,,,,0,0,0,0,0
stephen-anderson-2,Stephen Anderson,California,2015,TE,TE,13.0,0.0,4.92,,13.0,,,,41.0,474.0,2.0,,,,0,0,0,0,0
austin-ervin-1,Austin Ervin,Central Michigan,2015,TE,TE,0.0,0.0,-1.8,,,,,,,,,,,,0,0,0,0,0
ben-mccord-1,Ben McCord,Central Michigan,2015,TE,TE,13.0,0.0,-1.8,,13.0,,,,39.0,612.0,5.0,,,,0,0,0,0,0
clay-walderzak-1,Clay Walderzak,Central Michigan,2015,TE,TE,0.0,0.0,-1.8,,,,,,,,,,,,0,0,0,0,0
jonathan-carson-1,Jonathan Carson,Central Michigan,2015,TE,TE,1.0,0.0,-1.8,,,,,,,,,,,,0,0,0,0,0
tyler-conklin-1,Tyler Conklin,Central Michigan,2015,TE,TE,13.0,0.0,-1.8,,13.0,,,,6.0,95.0,0.0,,,,0,0,0,0,0
zach-crouch-1,Zach Crouch,Central Michigan,2015,TE,TE,11.0,0.0,-1.8,,11.0,,,,3.0,42.0,0.0,,,,0,0,0,0,0
dj-dowdy-1,DJ Dowdy,Cincinnati,2015,TE,TE,13.0,0.0,-0.65,,13.0,,,,12.0,104.0,3.0,,,,0,0,0,0,0
deionte-buckley-1,Deionte Buckley,Cincinnati,2015,TE,TE,0.0,0.0,-0.65,,,,,,,,,,,,0,0,0,0,0
jake-elfers-1,Jake Elfers,Cincinnati,2015,TE,TE,1.0,0.0,-0.65,,,,,,,,,,,,0,0,0,0,0
josiah-deguara-1,Josiah Deguara,Cincinnati,2015,TE,TE,0.0,0.0,-0.65,,,,,,,,,,,,0,0,0,0,0
tyler-cogswell-1,Tyler Cogswell,Cincinnati,2015,TE,TE,13.0,0.0,-0.65,,13.0,,,,4.0,22.0,1.0,,,,0,0,0,0,0
cannon-smith-3,Cannon Smith,Clemson,2015,TE,TE,14.0,0.0,5.21,,,,,,,,,,,,0,0,0,0,0
dj-greenlee-1,D.J. Greenlee,Clemson,2015,TE,TE,13.0,0.0,5.21,,,,,,,,,,,,0,0,0,0,0
garrett-williams-1,Garrett Williams,Clemson,2015,TE,TE,14.0,0.0,5.21,,,,,,,,,,,,0,0,0,0,0
jay-jay-mccullough-1,Jay Jay McCullough,Clemson,2015,TE,TE,10.0,0.0,5.21,,,,,,,,,,,,0,0,0,0,0
jesse-fisher-1,Jesse Fisher,Clemson,2015,TE,TE,0.0,0.0,5.21,,,,,,,,,,,,0,0,0,0,0
jordan-leggett-1,Jordan Leggett,Clemson,2015,TE,TE,15.0,0.0,5.21,,15.0,,,,40.0,525.0,8.0,,,,0,0,0,0,0
milan-richard-1,Milan Richard,Clemson,2015,TE,TE,5.0,0.0,5.21,,,,,,,,,,,,0,0,0,0,0
stanton-seckinger-1,Stanton Seckinger,Clemson,2015,TE,TE,14.0,0.0,5.21,,14.0,,,,3.0,25.0,0.0,,,,0,0,0,0,0
brian-boatman-1,Brian Boatman,Colorado,2015,TE,TE,1.0,0.0,1.33,,,,,,,,,,,,0,0,0,0,0
chris-bounds-1,Chris Bounds,Colorado,2015,TE,TE,0.0,0.0,1.33,,,,,,,,,,,,0,0,0,0,0
chris-hill-5,Chris Hill,Colorado,2015,TE,TE,11.0,0.0,1.33,,11.0,,,,1.0,7.0,0.0,,,,0,0,0,0,0
dylan-keeney-1,Dylan Keeney,Colorado,2015,TE,TE,12.0,0.0,1.33,,12.0,,,,6.0,71.0,0.0,,,,0,0,0,0,0
hayden-jones-1,Hayden Jones,Colorado,2015,TE,TE,6.0,0.0,1.33,,,,,,,,,,,,0,0,0,0,0
sean-irwin-1,Sean Irwin,Colorado,2015,TE,TE,13.0,0.0,1.33,,13.0,,,,15.0,248.0,0.0,,,,0,0,0,0,0
alec-wirtjes-1,Alec Wirtjes,Colorado State,2015,TE,TE,0.0,0.0,-5.78,,,,,,,,,,,,0,0,0,0,0
cahill-kelleghan-1,Cahill Kelleghan,Colorado State,2015,TE,TE,0.0,0.0,-5.78,,,,,,,,,,,,0,0,0,0,0
george-maumau-1,George Maumau,Colorado State,2015,TE,TE,9.0,0.0,-5.78,,,,,,,,,,,,0,0,0,0,0
kivon-cartwright-1,Kivon Cartwright,Colorado State,2015,TE,TE,13.0,0.0,-5.78,,13.0,,,,18.0,279.0,2.0,,,,0,0,0,0,0
mitchell-parsons-1,Mitchell Parsons,Colorado State,2015,TE,TE,0.0,0.0,-5.78,,,,,,,,,,,,0,0,0,0,0
nate-ryken-1,Nate Ryken,Colorado State,2015,TE,TE,0.0,0.0,-5.78,,,,,,,,,,,,0,0,0,0,0
nolan-peralta-1,Nolan Peralta,Colorado State,2015,TE,TE,12.0,0.0,-5.78,,12.0,,,,2.0,26.0,0.0,,,,0,0,0,0,0
steven-walker-1,Steven Walker,Colorado State,2015,TE,TE,13.0,0.0,-5.78,13.0,13.0,1.0,4.0,0.0,14.0,235.0,1.0,239.0,1.0,,0,0,0,0,0
alec-bloom-1,Alec Bloom,Connecticut,2015,TE,TE,13.0,0.0,-1.37,,13.0,,,,22.0,314.0,1.0,,,,0,0,0,0,0
billy-williams-4,Billy Williams,Connecticut,2015,TE,TE,0.0,0.0,-1.37,,,,,,,,,,,,0,0,0,0,0
chris-lee-2,Chris Lee,Connecticut,2015,TE,TE,4.0,0.0,-1.37,,,,,,,,,,,,0,0,0,0,0
dallas-parker-1,Dallas Parker,Connecticut,2015,TE,TE,2.0,0.0,-1.37,,,,,,,,,,,,0,0,0,0,0
ian-campbell-3,Ian Campbell,Connecticut,2015,TE,TE,0.0,0.0,-1.37,,,,,,,,,,,,0,0,0,0,0
nicholas-lensender-1,Nicholas Lensender,Connecticut,2015,TE,TE,0.0,0.0,-1.37,,,,,,,,,,,,0,0,0,0,0
tommy-myers-1,Tommy Myers,Connecticut,2015,TE,TE,11.0,0.0,-1.37,,11.0,,,,16.0,232.0,2.0,,,,0,0,0,0,0
zordan-holman-1,Zordan Holman,Connecticut,2015,TE,TE,0.0,0.0,-1.37,,,,,,,,,,,,0,0,0,0,0
braxton-deaver-1,Braxton Deaver,Duke,2015,TE,TE,12.0,0.0,-0.75,,12.0,,,,21.0,183.0,2.0,,,,0,0,0,0,0
dan-beilinson-1,Dan Beilinson,Duke,2015,TE,TE,2.0,0.0,-0.75,,,,,,,,,,,,0,0,0,0,0
daniel-helm-1,Daniel Helm,Duke,2015,TE,TE,0.0,0.0,-0.75,,,,,,,,,,,,0,0,0,0,0
david-reeves-1,David Reeves,Duke,2015,TE,TE,13.0,0.0,-0.75,,13.0,,,,13.0,104.0,0.0,,,,0,0,0,0,0
davis-koppenhaver-1,Davis Koppenhaver,Duke,2015,TE,TE,0.0,0.0,-0.75,,,,,,,,,,,,0,0,0,0,0
erich-schneider-1,Erich Schneider,Duke,2015,TE,TE,13.0,0.0,-0.75,,13.0,,,,15.0,123.0,3.0,,,,0,0,0,0,0
beau-huffman-1,Beau Huffman,East Carolina,2015,TE,TE,0.0,0.0,-0.93,,,,,,,,,,,,0,0,0,0,0
bryce-williams-1,Bryce Williams,East Carolina,2015,TE,TE,12.0,0.0,-0.93,,12.0,,,,58.0,588.0,4.0,,,,0,0,0,0,0
luke-ward-1,Luke Ward,East Carolina,2015,TE,TE,0.0,0.0,-0.93,,,,,,,,,,,,0,0,0,0,0
steve-baggett-1,Steve Baggett,East Carolina,2015,TE,TE,12.0,0.0,-0.93,,12.0,,,,5.0,40.0,0.0,,,,0,0,0,0,0
bryce-kemp-1,Bryce Kemp,Eastern Michigan,2015,TE,TE,0.0,0.0,-3.83,,,,,,,,,,,,0,0,0,0,0
cody-tuttle-1,Cody Tuttle,Eastern Michigan,2015,TE,TE,12.0,0.0,-3.83,12.0,12.0,1.0,-2.0,0.0,33.0,348.0,0.0,346.0,0.0,,0,0,0,0,0
daniel-buschman-1,Daniel Buschman,Eastern Michigan,2015,TE,TE,10.0,0.0,-3.83,,,,,,,,,,,,0,0,0,0,0
danny-annee-1,Danny Annee,Eastern Michigan,2015,TE,TE,0.0,0.0,-3.83,,,,,,,,,,,,0,0,0,0,0
nigel-kilby-1,Nigel Kilby,Eastern Michigan,2015,TE,TE,0.0,0.0,-3.83,,,,,,,,,,,,0,0,0,0,0
sam-browning-1,Sam Browning,Eastern Michigan,2015,TE,TE,12.0,0.0,-3.83,12.0,12.0,2.0,27.0,0.0,24.0,326.0,3.0,353.0,3.0,,0,0,0,0,0
sam-girodat-1,Sam Girodat,Eastern Michigan,2015,TE,TE,0.0,0.0,-3.83,,,,,,,,,,,,0,0,0,0,0
treshown-fields-1,Tre'Shown Fields,Eastern Michigan,2015,TE,TE,0.0,0.0,-3.83,,,,,,,,,,,,0,0,0,0,0
bair-diamond-1,Bair Diamond,Florida,2015,TE,TE,1.0,0.0,4.94,,,,,,,,,,,,0,0,0,0,0
cyontai-lewis-1,C'yontai Lewis,Florida,2015,TE,TE,9.0,0.0,4.94,,9.0,,,,4.0,75.0,2.0,,,,0,0,0,0,0
camrin-knight-1,Camrin Knight,Florida,2015,TE,TE,7.0,0.0,4.94,,,,,,,,,,,,0,0,0,0,0
deandre-goolsby-1,DeAndre Goolsby,Florida,2015,TE,TE,14.0,0.0,4.94,,14.0,,,,17.0,277.0,1.0,,,,0,0,0,0,0
jake-mcgee-1,Jake McGee,Florida,2015,TE,TE,13.0,0.0,4.94,,13.0,,,,41.0,381.0,4.0,,,,0,0,0,0,0
moral-stephens-1,Moral Stephens,Florida,2015,TE,TE,1.0,0.0,4.94,,,,,,,,,,,,0,0,0,0,0
ryan-ferguson-1,Ryan Ferguson,Florida,2015,TE,TE,1.0,0.0,4.94,,,,,,,,,,,,0,0,0,0,0
brett-seelig-1,Brett Seelig,Florida Atlantic,2015,TE,TE,0.0,0.0,-4.74,,,,,,,,,,,,0,0,0,0,0
chandler-dexter-1,Chandler Dexter,Florida Atlantic,2015,TE,TE,0.0,0.0,-4.74,,,,,,,,,,,,0,0,0,0,0
dustin-bowens-1,Dustin Bowens,Florida Atlantic,2015,TE,TE,10.0,0.0,-4.74,,,,,,,,,,,,0,0,0,0,0
jacob-wilson-1,Jacob Wilson,Florida Atlantic,2015,TE,TE,0.0,0.0,-4.74,,,,,,,,,,,,0,0,0,0,0
michael-harrop-1,Michael Harrop,Florida Atlantic,2015,TE,TE,5.0,0.0,-4.74,,,,,,,,,,,,0,0,0,0,0
