Player_ID,Player,pos_norm,latest_school,schools_played,seasons_count,games_total,sos_season_weighted,award_count,awards,heisman_finish,games_rushing,games_receiving,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,yds_from_scrimmage,scrim_td,award_aa,award_aac_offensive_player_of_the_year,award_acc_offensive_player_of_the_year,award_acc_player_of_the_year,award_ap_player_of_the_year_award_most_outstanding_player,award_big_12_offensive_player_of_the_year,award_big_ten_offensive_player_of_the_year,award_cusa_most_valuable_player,award_cusa_offensive_player_of_the_year,award_camp,award_doak_walker_award_most_outstanding_running_back,award_heisman_memorial_trophy_most_outstanding_player,award_johnny_the_jet_rodgers_award_most_outstanding_return_specialist,award_mac_offensive_player_of_the_year,award_mwc_offensive_player_of_the_year,award_maxwell,award_maxwell_award_player_of_the_year,award_pac_12_offensive_player_of_the_year,award_sec_offensive_player_of_the_year,award_sun_belt_offensive_player_of_the_year,award_vern_smith_leadership_award,award_vince_lombardi_award_lineman_of_the_year,award_walter_camp_player_of_the_year_award_most_outstanding_player
travis-dye-1,Travis Dye,RB,USC,Oregon|USC,5,58.0,1.6131034482758622,0.0,,0,58.0,58.0,666.0,3995.0,30.0,104.0,1071.0,8.0,5066.0,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dominic-richardson-1,Dominic Richardson,RB,Tulsa,Baylor|Oklahoma State|Tulsa,6,57.0,2.356315789473684,0.0,,0,57.0,57.0,640.0,2832.0,21.0,72.0,587.0,1.0,3419.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elijah-young-1,Elijah Young,RB,Western Kentucky,Missouri|Western Kentucky,5,57.0,0.0035087719298246113,0.0,,0,56.0,49.0,384.0,1764.0,7.0,91.0,766.0,6.0,2530.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jermaine-brown-jr-1,Jermaine Brown Jr.,RB,UAB,UAB,5,57.0,-3.6080701754385966,0.0,,0,57.0,57.0,596.0,3078.0,30.0,95.0,789.0,1.0,3867.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
johnnie-lang-1,Johnnie Lang,RB,Arkansas State,Arkansas State|Iowa State,6,57.0,1.2057894736842103,0.0,,0,57.0,54.0,263.0,1006.0,7.0,57.0,439.0,4.0,1445.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
johnny-richardson-4,Johnny Richardson,RB,UCF,UCF,5,57.0,0.40035087719298246,0.0,,0,57.0,51.0,281.0,1860.0,5.0,72.0,485.0,3.0,2345.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joquavious-marks-1,Jo'quavious Marks,RB,USC,Mississippi State|USC,5,57.0,5.812105263157895,0.0,,0,57.0,57.0,608.0,3016.0,31.0,261.0,1546.0,5.0,4562.0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jordon-simmons-1,Jordon Simmons,RB,Georgia State,Akron|Georgia State|Michigan State,6,57.0,3.4419298245614036,0.0,,0,57.0,41.0,344.0,1727.0,4.0,60.0,431.0,2.0,2158.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lopini-katoa-1,Lopini Katoa,RB,BYU,BYU,5,57.0,-1.1424561403508773,0.0,,0,57.0,57.0,381.0,1799.0,21.0,86.0,803.0,6.0,2602.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lucious-stanley-1,Lucious Stanley,RB,Miami (FL),Miami (FL)|UAB,6,57.0,-2.7973684210526315,0.0,,0,56.0,50.0,230.0,1175.0,12.0,22.0,195.0,2.0,1370.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
