Player_ID,Player,School,Year,pos,pos_norm,games_total,award_count,sos,games_kicking,games_punting,xpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,punt,punt_yds,punt_yds_per_punt,awards,heisman_finish,award_aa,award_lou_groza_award_most_outstanding_place_kicker,award_ray_guy_award_most_outstanding_punter
joseph-davidson-1,Joseph Davidson,Bowling Green,2015,P,SPEC,14.0,0.0,-0.34,,14.0,,,,,,,,54.0,2483.0,46.0,,0,0,0,0
nick-fields-1,Nick Fields,Bowling Green,2015,K,SPEC,5.0,0.0,-0.34,,,,,,,,,,,,,,0,0,0,0
sam-crosa-1,Sam Crosa,Bowling Green,2015,K,SPEC,0.0,0.0,-0.34,,,,,,,,,,,,,,0,0,0,0
tristian-epley-1,Tristian Epley,Bowling Green,2015,LS,SPEC,0.0,0.0,-0.34,,,,,,,,,,,,,,0,0,0,0
tyler-tate-1,Tyler Tate,Bowling Green,2015,K,SPEC,14.0,0.0,-0.34,14.0,,75.0,81.0,92.6,8.0,15.0,53.3,99.0,,,,,0,0,0,0
adam-mitcheson-1,Adam Mitcheson,Buffalo,2015,K,SPEC,12.0,0.0,-4.56,12.0,,31.0,36.0,86.1,13.0,19.0,68.4,70.0,,,,,0,0,0,0
corbin-grassman-1,Corbin Grassman,Buffalo,2015,LS,SPEC,12.0,0.0,-4.56,,,,,,,,,,,,,,0,0,0,0
tyler-grassman-1,Tyler Grassman,Buffalo,2015,P,SPEC,12.0,0.0,-4.56,,12.0,,,,,,,,65.0,2664.0,41.0,,0,0,0,0
bradley-northnagel-1,Bradley Northnagel,California,2015,LS,SPEC,12.0,0.0,4.92,,,,,,,,,,,,,,0,0,0,0
cole-leininger-1,Cole Leininger,California,2015,P,SPEC,12.0,0.0,4.92,,12.0,,,,,,,,37.0,1526.0,41.2,,0,0,0,0
dylan-klumph-1,Dylan Klumph,California,2015,P,SPEC,0.0,0.0,4.92,,,,,,,,,,,,,,0,0,0,0
ethan-erickson-1,Ethan Erickson,California,2015,K,SPEC,0.0,0.0,4.92,,,,,,,,,,,,,,0,0,0,0
franklyn-cervenka-1,Franklyn Cervenka,California,2015,K,SPEC,0.0,0.0,4.92,,,,,,,,,,,,,,0,0,0,0
grant-gluhaich-1,Grant Gluhaich,California,2015,LS,SPEC,0.0,0.0,4.92,,,,,,,,,,,,,,0,0,0,0
harry-adolphus-1,Harry Adolphus,California,2015,P,SPEC,3.0,0.0,4.92,,3.0,,,,,,,,3.0,148.0,49.3,,0,0,0,0
matt-anderson-3,Matt Anderson,California,2015,K,SPEC,13.0,0.0,4.92,13.0,,50.0,52.0,96.2,18.0,21.0,85.7,104.0,,,,,0,0,0,0
noah-beito-1,Noah Beito,California,2015,K,SPEC,1.0,0.0,4.92,1.0,,2.0,2.0,100.0,0.0,0.0,,2.0,,,,,0,0,0,0
robbie-mcinerny-1,Robbie McInerny,California,2015,K,SPEC,1.0,0.0,4.92,1.0,,1.0,1.0,100.0,0.0,0.0,,1.0,,,,,0,0,0,0
brian-eavey-1,Brian Eavey,Central Michigan,2015,K,SPEC,13.0,0.0,-1.8,13.0,13.0,38.0,38.0,100.0,16.0,24.0,66.7,86.0,1.0,38.0,38.0,,0,0,0,0
