Player_ID,Player,pos_norm,latest_school,schools_played,seasons_count,games_total,sos_season_weighted,award_count,awards,heisman_finish,games_pff,award_aa,award_dave_rimington_trophy_most_outstanding_center,award_john_outland_trophy_most_outstanding_interior_lineman,award_vince_lombardi_award_lineman_of_the_year
keiondre-jones-1,Keiondre Jones,OL,Florida State,Auburn|Florida State,6,53.0,6.230943396226415,0.0,,0,53.0,0,0,0,0
leif-fautanu-1,Leif Fautanu,OL,Arizona State,Arizona State|Nevada-Las Vegas,6,53.0,0.6890566037735848,0.0,,0,53.0,0,0,0,0
luke-wattenberg-1,Luke Wattenberg,OL,Washington,Washington,5,53.0,1.2901886792452832,0.0,,0,50.0,0,0,0,0
walter-rouse-1,Walter Rouse,OL,Oklahoma,Oklahoma|Stanford,5,53.0,3.9901886792452834,0.0,,0,52.0,0,0,0,0
blake-miller-2,Blake Miller,OL,Clemson,Clemson,4,52.0,3.0300000000000002,0.0,,0,49.0,0,0,0,0
chris-glaser-1,Chris Glaser,OL,Virginia,Virginia,5,52.0,1.2434615384615384,0.0,,0,50.0,0,0,0,0
demetris-harris-1,Demetris Harris,OL,South Florida,South Florida,6,52.0,0.45307692307692304,0.0,,0,52.0,0,0,0,0
devonte-gordon-1,DeVonte Gordon,OL,Wake Forest,Wake Forest,6,52.0,2.036153846153846,0.0,,0,51.0,0,0,0,0
eric-miller-6,Eric Miller,OL,Louisville,Louisville|Purdue,6,52.0,3.285769230769231,0.0,,0,50.0,0,0,0,0
jaren-kump-1,Jaren Kump,OL,Utah,Utah,6,52.0,1.9332692307692307,0.0,,0,52.0,0,0,0,0
jarrod-hufford-1,Jarrod Hufford,OL,Iowa State,Iowa State,6,52.0,4.213461538461538,0.0,,0,49.0,0,0,0,0
jeremy-james-1,Jeremy James,OL,Ole Miss,Ole Miss,6,52.0,4.398076923076923,0.0,,0,51.0,0,0,0,0
joey-claybrook-1,Joey Claybrook,OL,Tulane,Tulane,6,52.0,-0.00019230769230765404,0.0,,0,52.0,0,0,0,0
lokahi-pauole-1,Lokahi Pauole,OL,UCF,UCF,5,52.0,-0.5555769230769231,0.0,,0,51.0,0,0,0,0
maurice-smith-7,Maurice Smith,OL,Florida State,Florida State,6,52.0,2.873076923076923,0.0,,0,52.0,0,0,0,0
parker-moorer-1,Parker Moorer,OL,East Carolina,East Carolina|West Virginia,6,52.0,-1.1138461538461537,0.0,,0,51.0,0,0,0,0
preston-wilson-1,Preston Wilson,OL,Oklahoma State,Oklahoma State,6,52.0,3.978846153846154,0.0,,0,49.0,0,0,0,0
rashad-green-2,Rashad Green,OL,Tulane,Tulane,5,52.0,-0.3107692307692308,0.0,,0,48.0,0,0,0,0
sam-schlueter-1,Sam Schlueter,OL,Minnesota,Minnesota,5,52.0,2.737115384615385,0.0,,0,52.0,0,0,0,0
timothy-mckay-1,Timothy McKay,OL,North Carolina State,North Carolina State,6,52.0,1.573846153846154,0.0,,0,51.0,0,0,0,0
trey-zuhn-iii-1,Trey Zuhn III,OL,Texas A&M,Texas A&M,5,52.0,3.9719230769230767,0.0,,0,52.0,0,0,0,0
vederian-lowe-1,Vederian Lowe,OL,Illinois,Illinois,5,52.0,2.885384615384616,0.0,,0,52.0,0,0,0,0
vincent-picozzi-1,Vincent Picozzi,OL,Northwestern,Colorado State|Northwestern|Temple,6,52.0,-0.5426923076923078,0.0,,0,51.0,0,0,0,0
zuri-henry-1,Zuri Henry,OL,UTEP,UTEP,6,52.0,-6.8944230769230765,0.0,,0,51.0,0,0,0,0
alfred-edwards-1,Alfred Edwards,OL,Utah State,Utah State,6,51.0,-3.2460784313725486,0.0,,0,50.0,0,0,0,0
ben-scott-3,Ben Scott,OL,Nebraska,Arizona State|Nebraska,6,51.0,1.6054901960784316,0.0,,0,51.0,0,0,0,0
bryce-cabeldue-1,Bryce Cabeldue,OL,Kansas,Kansas,5,51.0,4.791568627450981,0.0,,0,51.0,0,0,0,0
bryce-foster-1,Bryce Foster,OL,Kansas,Kansas|Texas A&M,5,51.0,3.2966666666666664,0.0,,0,51.0,0,0,0,0
calvin-throckmorton-1,Calvin Throckmorton,OL,Oregon,Oregon,5,51.0,2.5594117647058825,0.0,,0,48.0,0,0,0,0
carson-bruno-1,Carson Bruno,OL,Texas Christian,Louisiana Tech|Texas Christian,5,51.0,-1.316470588235294,0.0,,0,50.0,0,0,0,0
casey-roddick-1,Casey Roddick,OL,Florida State,Colorado|Florida State,7,51.0,3.872941176470588,0.0,,0,51.0,0,0,0,0
connor-colby-1,Connor Colby,OL,Iowa,Iowa,4,51.0,1.4513725490196077,0.0,,0,48.0,0,0,0,0
donovan-jennings-1,Donovan Jennings,OL,South Florida,South Florida,6,51.0,-0.6705882352941177,0.0,,0,51.0,0,0,0,0
duke-clemens-1,Duke Clemens,OL,UCLA,UCLA,5,51.0,1.0062745098039216,0.0,,0,50.0,0,0,0,0
jacob-still-1,Jacob Still,OL,Arkansas State,Arkansas State,5,51.0,-4.272156862745098,0.0,,0,51.0,0,0,0,0
jake-majors-1,Jake Majors,OL,Texas,Texas,5,51.0,6.644509803921569,0.0,,0,51.0,0,0,0,0
johnny-jordan-1,Johnny Jordan,OL,Virginia Tech,Maryland|Virginia Tech,6,51.0,3.1419607843137256,0.0,,0,51.0,0,0,0,0
kevin-davis-7,Kevin Davis,OL,UTSA,UTSA,6,51.0,-3.2154901960784317,0.0,,0,50.0,0,0,0,0
khalil-crowder-1,Khalil Crowder,OL,Georgia Southern,Georgia Southern,6,51.0,-3.715686274509804,0.0,,0,50.0,0,0,0,0
maurice-mcintyre-1,Maurice McIntyre,OL,Duke,Duke,6,51.0,0.5601960784313725,0.0,,0,48.0,0,0,0,0
michael-ford-jr-1,Michael Ford Jr.,OL,Kansas,Buffalo|Kansas,5,51.0,4.395490196078431,0.0,,0,50.0,0,0,0,0
mike-katic-1,Mike Katic,OL,Indiana,Indiana,6,51.0,4.704313725490196,0.0,,0,51.0,0,0,0,0
parker-titsworth-1,Parker Titsworth,OL,Ohio,Ohio,6,51.0,-6.2486274509803925,0.0,,0,49.0,0,0,0,0
sean-maginn-1,Sean Maginn,OL,Wake Forest,Wake Forest,6,51.0,1.4398039215686274,0.0,,0,48.0,0,0,0,0
brad-cecil-1,Brad Cecil,OL,South Florida,South Florida,5,50.0,0.67,0.0,,0,50.0,0,0,0,0
brandon-council-1,Brandon Council,OL,Auburn,Akron|Auburn,6,50.0,1.5124000000000004,0.0,,0,50.0,0,0,0,0
christian-haynes-2,Christian Haynes,OL,Connecticut,Connecticut,6,50.0,-2.376,0.0,,0,50.0,0,0,0,0
cooper-mays-1,Cooper Mays,OL,Tennessee,Tennessee,5,50.0,4.4714,0.0,,0,50.0,0,0,0,0
derek-kerstetter-1,Derek Kerstetter,OL,Texas,Texas,5,50.0,4.9452,0.0,,0,50.0,0,0,0,0
eli-cox-1,Eli Cox,OL,Kentucky,Kentucky,6,50.0,3.9138,0.0,,0,49.0,0,0,0,0
frank-crum-1,Frank Crum,OL,Wyoming,Wyoming,6,50.0,-4.1642,0.0,,0,50.0,0,0,0,0
garrett-digiorgio-1,Garrett DiGiorgio,OL,UCLA,UCLA,5,50.0,4.5384,0.0,,0,48.0,0,0,0,0
gus-hartwig-1,Gus Hartwig,OL,Purdue,Purdue,5,50.0,4.6104,0.0,,0,50.0,0,0,0,0
hagan-meservy-1,Hagan Meservy,OL,Ohio,Ohio,6,50.0,-6.18,0.0,,0,49.0,0,0,0,0
henry-lutovsky-1,Henry Lutovsky,OL,Nebraska,Nebraska,5,50.0,3.2482000000000006,0.0,,0,48.0,0,0,0,0
jake-springfield-1,Jake Springfield,OL,Oklahoma State,Oklahoma State,6,50.0,4.1196,0.0,,0,48.0,0,0,0,0
joe-michalski-1,Joe Michalski,OL,Oklahoma State,Oklahoma State,6,50.0,3.9038,0.0,,0,41.0,0,0,0,0
josh-baker-1,Josh Baker,OL,Arizona,Arizona,5,50.0,2.1252,0.0,,0,50.0,0,0,0,0
joshua-mote-1,Joshua Mote,OL,Louisiana Tech,Louisiana Tech,6,50.0,-3.1792000000000002,0.0,,0,49.0,0,0,0,0
kyle-hoppe-1,Kyle Hoppe,OL,San Jose State,San Jose State,5,50.0,-2.3236000000000003,0.0,,0,36.0,0,0,0,0
marcellus-marshall-1,Marcellus Marshall,OL,Minnesota,Kent State|Minnesota|UCF,6,50.0,0.9375999999999999,0.0,,0,50.0,0,0,0,0
mike-lofton-1,Mike Lofton,OL,South Florida,South Florida|UCF,6,50.0,-1.8544,0.0,,0,50.0,0,0,0,0
mose-vavao-1,Mose Vavao,OL,Fresno State,Fresno State,5,50.0,-4.1339999999999995,0.0,,0,50.0,0,0,0,0
noah-hannon-1,Noah Hannon,OL,Appalachian State,Appalachian State,4,50.0,-5.547000000000001,0.0,,0,46.0,0,0,0,0
quantavious-leslie-1,Quantavious Leslie,OL,Western Kentucky,Western Kentucky,5,50.0,-4.6424,0.0,,0,50.0,0,0,0,0
trevon-tate-1,Trevon Tate,OL,Memphis,Memphis,4,50.0,-1.1814000000000002,0.0,,0,47.0,0,0,0,0
turner-corcoran-1,Turner Corcoran,OL,Nebraska,Nebraska,6,50.0,3.9067999999999996,0.0,,0,50.0,0,0,0,0
tyler-doty-1,Tyler Doty,OL,Buffalo,Buffalo,6,50.0,-7.0972,0.0,,0,47.0,0,0,0,0
