Player_ID,Player,pos_norm,latest_school,schools_played,seasons_count,games_total,sos_season_weighted,award_count,awards,heisman_finish,games_rushing,games_receiving,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,yds_from_scrimmage,scrim_td,award_aa,award_ap_player_of_the_year_award_most_outstanding_player,award_big_12_offensive_player_of_the_year,award_big_ten_offensive_player_of_the_year,award_cusa_most_valuable_player,award_cusa_offensive_player_of_the_year,award_camp,award_fred_biletnikoff_award_outstanding_receiver,award_heisman_memorial_trophy_most_outstanding_player,award_johnny_the_jet_rodgers_award_most_outstanding_return_specialist,award_mac_offensive_player_of_the_year,award_maxwell,award_maxwell_award_player_of_the_year,award_pac_12_offensive_player_of_the_year,award_sec_offensive_player_of_the_year,award_sun_belt_offensive_player_of_the_year,award_sun_belt_player_of_the_year,award_walter_camp_player_of_the_year_award_most_outstanding_player
rj-sneed-1,R.J. Sneed,WR,Colorado,Baylor|Colorado,6,59.0,4.5394915254237285,0.0,,0,39.0,58.0,4.0,1.0,0.0,153.0,1732.0,8.0,1179.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sam-pinckney-1,Sam Pinckney,WR,Coastal Carolina,Coastal Carolina|Georgia State,6,59.0,-2.938305084745763,0.0,,0,24.0,59.0,2.0,19.0,0.0,256.0,3691.0,24.0,1357.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taye-barber-1,Taye Barber,WR,Texas Christian,Texas Christian,5,59.0,4.766610169491526,0.0,,0,59.0,59.0,27.0,143.0,0.0,159.0,2120.0,11.0,2263.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tj-sheffield-1,TJ Sheffield,WR,Connecticut,Connecticut|Purdue,6,59.0,1.2891525423728813,0.0,,0,26.0,59.0,5.0,-1.0,0.0,172.0,1714.0,14.0,804.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
christian-dremel-1,Christian Dremel,WR,Rutgers,Rutgers,6,58.0,3.9889655172413794,0.0,,0,19.0,58.0,2.0,25.0,0.0,58.0,699.0,4.0,36.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
devaughn-cooper-1,Devaughn Cooper,WR,Syracuse,Arizona|Syracuse|UTEP,7,58.0,-0.7782758620689655,0.0,,0,0.0,57.0,0.0,0.0,0.0,98.0,1367.0,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isaiah-washington-2,Isaiah Washington,WR,Rutgers,Rutgers,5,58.0,4.232241379310345,0.0,,0,12.0,58.0,1.0,-5.0,0.0,74.0,927.0,3.0,174.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacob-cowing-1,Jacob Cowing,WR,Arizona,Arizona|UTEP,5,58.0,-3.428793103448276,0.0,,0,38.0,58.0,12.0,102.0,1.0,316.0,4477.0,33.0,3338.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jadon-thompson-1,Jadon Thompson,WR,Memphis,Cincinnati|Louisville|Memphis,6,58.0,0.08224137931034475,0.0,,0,0.0,58.0,0.0,0.0,0.0,73.0,968.0,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jamaal-bell-1,Jamaal Bell,WR,Baylor,Baylor|Nevada,5,58.0,-2.73,0.0,,0,58.0,58.0,44.0,139.0,1.0,79.0,703.0,3.0,842.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jeff-foreman-1,Jeff Foreman,WR,Arkansas State,Arkansas State,5,58.0,-3.3315517241379315,0.0,,0,0.0,58.0,0.0,0.0,0.0,104.0,2067.0,13.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jordan-nathan-1,Jordan Nathan,WR,Utah State,Utah State,5,58.0,-3.1174137931034482,0.0,,0,38.0,58.0,15.0,68.0,1.0,121.0,1314.0,8.0,1270.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jordan-watkins-2,Jordan Watkins,WR,Ole Miss,Louisville|Ole Miss,5,58.0,2.517413793103448,0.0,,0,46.0,58.0,7.0,31.0,1.0,185.0,2682.0,18.0,2184.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keelan-marion-1,Keelan Marion,WR,Miami (FL),BYU|Connecticut|Miami (FL),6,58.0,2.540344827586207,0.0,,0,41.0,58.0,34.0,161.0,5.0,133.0,1871.0,9.0,1469.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keylon-stokes-1,Keylon Stokes,WR,Tulsa,Tulsa,6,58.0,-0.014827586206896665,0.0,,0,49.0,58.0,43.0,236.0,2.0,242.0,3774.0,19.0,3867.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
