Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,punt,punt_yds,punt_yds_per_punt,awards,Year
Jamie Sackville,jamie-sackville-1,/cfb/players/jamie-sackville-1.html,SMU,American,12,67,2657,39.7,,2018
Patrick LeCorre,patrick-lecorre-1,/cfb/players/patrick-lecorre-1.html,Ball State,MAC,12,39,1549,39.7,,2018
Will Spiers,will-spiers-1,/cfb/players/will-spiers-1.html,Clemson,ACC,15,64,2541,39.7,,2018
Adam Nunez,adam-nunez-1,/cfb/players/adam-nunez-1.html,Texas Christian,Big 12,13,41,1619,39.5,,2018
Nick Gasser,nick-gasser-1,/cfb/players/nick-gasser-1.html,Akron,MAC,12,75,2952,39.4,,2018
Reid Budrovich,reid-budrovich-1,/cfb/players/reid-budrovich-1.html,USC,Pac-12,12,58,2284,39.4,,2018
Tucker Day,tucker-day-1,/cfb/players/tucker-day-1.html,Mississippi State,SEC,13,47,1851,39.4,,2018
George Georgopoulos,george-georgopoulos-1,/cfb/players/george-georgopoulos-1.html,Massachusetts,Ind,11,39,1529,39.2,,2018
Zac Everett,zac-everett-1,/cfb/players/zac-everett-1.html,Southern Mississippi,CUSA,11,40,1566,39.2,,2018
Charlie Scott,charlie-scott-2,/cfb/players/charlie-scott-2.html,Air Force,MWC,11,26,1013,39.0,,2018
Jackson Hubbard,jackson-hubbard-1,/cfb/players/jackson-hubbard-1.html,Duke,ACC,13,1,39,39.0,,2018
Quinn Skillin,quinn-skillin-1,/cfb/players/quinn-skillin-1.html,Boise State,MWC,13,45,1754,39.0,,2018
Ty Gangi,ty-gangi-1,/cfb/players/ty-gangi-1.html,Nevada,MWC,12,4,156,39.0,,2018
Zac Thomas,zac-thomas-2,/cfb/players/zac-thomas-2.html,Appalachian State,Sun Belt,12,1,39,39.0,,2018
Colten Rastetter,colten-rastetter-1,/cfb/players/colten-rastetter-1.html,Iowa,Big Ten,13,53,2063,38.9,,2018
Reid Bauer,reid-bauer-1,/cfb/players/reid-bauer-1.html,Arkansas,SEC,12,56,2176,38.9,,2018
Zach Feagles,zach-feagles-1,/cfb/players/zach-feagles-1.html,Miami (FL),ACC,10,30,1166,38.9,,2018
Danny Jones,danny-jones-1,/cfb/players/danny-jones-1.html,BYU,Ind,6,8,310,38.8,,2018
Tim Zaleski,tim-zaleski-1,/cfb/players/tim-zaleski-1.html,Wyoming,MWC,5,36,1395,38.8,,2018
