recruit_name,recruit_year,committed_to,recruit_id,sports_ref_id,roster_name,roster_school,roster_year,pos,recruit_pos,name_score,team_match,year_diff,match_strategy
Erik Spurlin-Renfroe,2017,Uncommitted,201702826,erik-spurlin-renfroe-1,Erik Spurlin-Renfroe,Wyoming,2017,WR,wr,100,0,0,Final_StandardName
Keric Wheatfall,2017,Uncommitted,201702857,keric-wheatfall-1,Keric Wheatfall,Fresno State,2019,WR,wr,100,0,2,Final_StandardName
Christian Smith,2017,Uncommitted,201702930,christian-smith-2,Christian Smith,Virginia,2018,DL,dt,100,0,1,Final_StandardName
Kyle McCombs,2017,Uncommitted,201703034,kyle-mccombs-1,Kyle McCombs,Stanford,2017,TE,te,100,0,0,Final_StandardName
Nakoa Pauole,2017,Uncommitted,201703096,nokoa-pauole-1,Nokoa Pauole,Air Force,2018,DL,dt,91,0,1,Final_StandardName
Parker Rickert,2017,Uncommitted,201703128,parker-rickert-1,Parker Rickert,Iowa State,2017,WR,wr,100,0,0,Final_StandardName
Kolo Uasike,2017,Uncommitted,201703224,kolo-uasike-1,Kolo Uasike,Nevada-Las Vegas,2017,DL,dt,100,0,0,Final_StandardName
Michael Ballentine,2017,Uncommitted,201703301,michael-ballentine-1,Michael Ballentine,Ohio,2017,S,s,100,0,0,Final_StandardName
Miles McCord,2017,Uncommitted,201703302,miles-mccord-1,Miles McCord,Rice,2019,CB,cb,100,0,2,Final_StandardName
Andrew Noble,2017,Uncommitted,201703323,andrew-noble-1,Andrew Noble,Arizona State,2017,WR,wr,100,0,0,Final_StandardName
Christian Ballard,2017,Uncommitted,201703345,christian-mallard-1,Christian Mallard,Air Force,2017,RB,rb,94,0,0,Final_StandardName
LaMarque Davis,2017,Uncommitted,201703356,lamarque-davis-1,LaMarque Davis,Southern Mississippi,2017,DB,cb,100,0,0,Final_StandardName
Bobby Cole,2017,Uncommitted,201703359,bobby-cole-3,Bobby Cole,New Mexico,2017,RB,rb,100,0,0,Final_StandardName
Noah Pittenger,2017,Uncommitted,201703399,noah-pittenger-1,Noah Pittenger,Arizona,2017,RB,rb,100,0,0,Final_StandardName
Dakota Poe,2017,Uncommitted,201703415,dakota-poe-1,Dakota Poe,Arizona,2017,RB,ath,100,0,0,Final_StandardName
Jaylen Warren,2017,Uncommitted,201703447,jaylen-warren-1,Jaylen Warren,Utah State,2019,RB,rb,100,0,2,Final_StandardName
Justin Cain,2017,Uncommitted,201703473,justin-cain-1,Justin Cain,North Texas,2017,WR,wr,100,0,0,Final_StandardName
Spencer Curtis,2017,Weber State,201703504,spencer-curtis-1,Spencer Curtis,Oregon,2020,WR,wr,100,0,3,Final_StandardName
Brenden Knox,2017,Uncommitted,201703571,brenden-knox-1,Brenden Knox,Marshall,2017,RB,rb,100,0,0,Final_StandardName
Jonathan Hagee,2017,Uncommitted,201703582,jonathan-hagee-1,Jonathan Hagee,Ball State,2017,K,k,100,0,0,Final_StandardName
Cam Burnette,2017,Furman,201703584,cam-burnette-1,Cam Burnette,East Carolina,2019,WR,wr,100,0,2,Final_StandardName
Michael Parrott,2017,Uncommitted,201703612,michael-parrott-1,Michael Parrott,Miami (FL),2017,FB,fb,100,0,0,Final_StandardName
C.J. Jarmon,2017,Uncommitted,201703613,cj-jarmon-1,C.J. Jarmon,Arizona State,2018,WR,wr,100,0,1,Final_StandardName
Miles Manigault,2017,East Tennessee State,201703618,miles-manigualt-1,Miles Manigault,Cincinnati,2020,DL,dt,100,0,3,Final_StandardName
Curtis Chiaverini,2017,Uncommitted,201703676,curtis-chiaverini-1,Curtis Chiaverini,Colorado,2017,WR,wr,100,0,0,Final_StandardName
Khamal Ellison,2017,Uncommitted,201703690,khamal-ellison-1,Khamal Ellison,Florida Atlantic,2017,DB,cb,100,0,0,Final_StandardName
Peyton Jones,2017,Illinois State,201703740,peyton-jones-2,Peyton Jones,Temple,2017,DB,cb,100,0,0,Final_StandardName
Armani Marsh,2017,Uncommitted,201703777,armani-marsh-1,Armani Marsh,Washington State,2017,DB,cb,100,0,0,Final_StandardName
Mike Garrett Jr.,2017,Uncommitted,201703911,mike-garrett-jr-1,Mike Garrett Jr.,Tulsa,2019,DB,cb,100,0,2,Final_StandardName
Shamon Willis,2017,Weber State,201703999,shamon-willis-1,Shamon Willis,BYU,2019,DB,cb,100,0,2,Final_StandardName
Lofton Tidwell,2017,Uncommitted,201704068,lofton-tidwell-1,Lofton Tidwell,Georgia,2017,RB,rb,100,0,0,Final_StandardName
Kade Warner,2017,Uncommitted,201704118,kade-warner-1,Kade Warner,Nebraska,2017,WR,wr,100,0,0,Final_StandardName
Jared Reed,2017,Portland State,201704144,jared-reed-1,Jared Reed,Utah State,2019,CB,cb,100,0,2,Final_StandardName
Austin Perry,2017,Uncommitted,201704200,austin-perry-1,Austin Perry,Florida,2017,DB,cb,100,0,0,Final_StandardName
Victor McClinton,2017,UT Martin,201704239,victor-mcclinton-1,Victor McClinton,South Alabama,2019,WR,ath,100,0,2,Final_StandardName
Cal Adomitis,2017,Uncommitted,201704247,cal-adomitis-1,Cal Adomitis,Pitt,2017,LS,ls,100,0,0,Final_StandardName
Gayflor Flomo,2017,Uncommitted,201704248,gayflor-flomo-1,Gayflor Flomo,Kansas,2020,RB,rb,100,0,3,Final_StandardName
Mike Delich,2017,Uncommitted,201704254,mike-delich-1,Mike Delich,Minnesota,2017,RB,ath,100,0,0,Final_StandardName
CJ Parks,2018,Uncommitted,201800729,cj-parks-1,C.J. Parks,Eastern Michigan,2020,WR,wr,100,0,2,Final_StandardName
Alton Julian,2018,Uncommitted,201801351,alton-julian-1,Alton Julian,Oregon State,2020,DB,cb,100,0,2,Final_StandardName
Natrone Brooks,2018,Uncommitted,201801549,natrone-brooks-1,Natrone Brooks,Southern Mississippi,2020,DB,cb,100,0,2,Final_StandardName
Dalrone Donaldson,2018,Uncommitted,201801730,dalrone-donaldson-1,Dalrone Donaldson,Cincinnati,2020,WR,wr,100,0,2,Final_StandardName
Trea Shropshire,2018,Uncommitted,201801766,trea-shropshire-1,Trea Shropshire,UAB,2020,WR,wr,100,0,2,Final_StandardName
Shawn Thomas,2018,Uncommitted,201801992,shaun-thomas-1,Shaun Thomas,Cincinnati,2021,RB,ath,91,0,3,Final_StandardName
Perrion Winfrey,2018,Uncommitted,201802034,perrion-winfrey-1,Perrion Winfrey,Oklahoma,2020,DL,dt,100,0,2,Final_StandardName
Jacob Kainer,2018,Uncommitted,201802102,jacob-kainer-1,Jacob Kainer,Tulsa,2020,TE,te,100,0,2,Final_StandardName
Tyrese Jackson,2018,Uncommitted,201802187,tyree-jackson-3,Tyree Jackson,Nevada-Las Vegas,2019,RB,ath,96,0,1,Final_StandardName
Golden Eke III,2018,Uncommitted,201802255,golden-eke-iii-1,Golden Eke III,Louisiana,2020,WR,wr,100,0,2,Final_StandardName
Mekhi Metcalf,2018,Montana State,201802275,mekhi-metcalf-1,Mekhi Metcalf,Arizona State,2020,WR,wr,100,0,2,Final_StandardName
Broc Thompson,2018,Western Illinois,201802287,broc-thompson-1,Broc Thompson,Marshall,2019,WR,wr,100,0,1,Final_StandardName
Levar Gumms,2018,Northwestern State,201802391,levar-gumms-1,Levar Gumms,Central Michigan,2021,WR,wr,100,0,3,Final_StandardName
Jerreth Sterns,2018,Houston Christian,201802395,jerreth-sterns-1,Jerreth Sterns,Western Kentucky,2021,WR,ath,100,0,3,Final_StandardName
Henry Teeter,2018,Holy Cross,201802463,henry-teeter-1,Henry Teeter,Texas Tech,2020,TE,te,100,0,2,Final_StandardName
DJ Travis,2018,Uncommitted,201802746,dj-travis-1,D.J. Travis,Louisiana-Monroe,2020,CB,cb,100,0,2,Final_StandardName
Jimmy Banjoko,2018,Uncommitted,201802764,jimmy-banjoko-1,Jimmy Banjoko,Arizona,2018,S,s,100,0,0,Final_StandardName
Romeo Holden,2018,Monmouth,201802780,romeo-holden-1,Romeo Holden,Massachusetts,2021,RB,rb,100,0,3,Final_StandardName
Tyrese Chambers,2018,Uncommitted,201802815,tyrese-chambers-1,Tyrese Chambers,Florida International,2021,WR,wr,100,0,3,Final_StandardName
Isaiah Wooden,2018,Utah Tech,201802825,isaiah-wooden-1,Isaiah Wooden,Kent State,2019,WR,wr,100,0,1,Final_StandardName
Nathaniel Dell,2018,Uncommitted,201802890,nathaniel-dell-1,Nathaniel Dell,Houston,2020,WR,wr,100,0,2,Final_StandardName
Darius Shipp,2018,Austin Peay,201802942,darius-shipp-1,Darius Shipp,Western Kentucky,2020,DT,dt,100,0,2,Final_StandardName
Naim Muhammad,2018,Uncommitted,201802989,naim-muhammad-1,Naim Muhammad,West Virginia,2019,CB,cb,100,0,1,Final_StandardName
Logan Taylor,2018,Uncommitted,201803065,logan-taylor-1,Logan Taylor,Hawaii,2020,DB,cb,100,0,2,Final_StandardName
Jaylyn Thomas,2018,Uncommitted,201803125,jaylen-thomas-1,Jaylen Thomas,Colorado State,2019,RB,ath,92,0,1,Final_StandardName
Davin Dyal,2018,UT Martin,201803126,davin-dyal-1,Davin Dyal,Memphis,2021,TE,te,100,0,3,Final_StandardName
Brandon Lee,2018,Uncommitted,201803140,brandon-lee-2,Brandon Lee,Akron,2019,WR,wr,100,0,1,Final_StandardName
