Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,awards,Year
Jemel Jones,jemel-jones-1,/cfb/players/jemel-jones-1.html,Army,Ind,4,7,13,53.8,135,1,7.7,1,7.7,10.4,8.46,19.3,33.8,151.1,,2021
John Paddock,john-paddock-1,/cfb/players/john-paddock-1.html,Ball State,MAC,2,18,26,69.2,132,0,0.0,1,3.8,5.1,3.35,7.3,66.0,104.2,,2021
Taisun Phommachanh,taisun-phommachanh-1,/cfb/players/taisun-phommachanh-1.html,Clemson,ACC,6,11,19,57.9,131,1,5.3,1,5.3,6.9,5.58,11.9,21.8,122.7,,2021
Cole Snyder,cole-snyder-2,/cfb/players/cole-snyder-2.html,Rutgers,Big Ten,6,18,28,64.3,130,1,3.6,0,0.0,4.6,5.36,7.2,21.7,115.1,,2021
Chase Wolf,chase-wolf-1,/cfb/players/chase-wolf-1.html,Wisconsin,Big Ten,4,8,16,50.0,124,1,6.3,2,12.5,7.8,3.38,15.5,31.0,110.7,,2021
Jacob Huesman,jacob-huesman-1,/cfb/players/jacob-huesman-1.html,Appalachian State,Sun Belt,6,12,21,57.1,116,1,4.8,1,4.8,5.5,4.33,9.7,19.3,109.7,,2021
Chandler Fields,chandler-fields-1,/cfb/players/chandler-fields-1.html,Louisiana,Sun Belt,8,9,13,69.2,106,1,7.7,0,0.0,8.2,9.69,11.8,13.3,163.1,,2021
Miles Kendrick,miles-kendrick-1,/cfb/players/miles-kendrick-1.html,Kansas,Big 12,5,12,18,66.7,106,2,11.1,1,5.6,5.9,5.61,8.8,21.2,141.7,,2021
Tyler Snead,tyler-snead-1,/cfb/players/tyler-snead-1.html,East Carolina,American,12,3,5,60.0,102,2,40.0,0,0.0,20.4,28.40,34.0,8.5,363.4,,2021
Jack Miller III,jack-miller-iii-1,/cfb/players/jack-miller-iii-1.html,Ohio State,Big Ten,4,7,14,50.0,101,0,0.0,0,0.0,7.2,7.21,14.4,25.3,110.6,,2021
Sam Noyer,sam-noyer-1,/cfb/players/sam-noyer-1.html,Oregon State,Pac-12,2,11,24,45.8,101,0,0.0,2,8.3,4.2,0.46,9.2,50.5,64.5,,2021
Reece Udinski,reece-udinski-1,/cfb/players/reece-udinski-1.html,Maryland,Big Ten,4,11,15,73.3,100,1,6.7,1,6.7,6.7,5.00,9.1,25.0,138.0,,2021
Chubba Purdy,chubba-purdy-1,/cfb/players/chubba-purdy-1.html,Florida State,ACC,1,5,5,100.0,98,2,40.0,0,0.0,19.6,27.60,19.6,98.0,396.6,,2021
Jarrett Guest,jarrett-guest-1,/cfb/players/jarrett-guest-1.html,Coastal Carolina,Sun Belt,6,9,10,90.0,96,1,10.0,0,0.0,9.6,11.60,10.7,16.0,203.6,,2021
Jordan Moore,jordan-moore-5,/cfb/players/jordan-moore-5.html,Duke,ACC,10,9,19,47.4,95,1,5.3,0,0.0,5.0,6.05,10.6,9.5,106.7,,2021
Ryan Glover,ryan-glover-1,/cfb/players/ryan-glover-1.html,California,Pac-12,1,11,29,37.9,94,0,0.0,0,0.0,3.2,3.24,8.5,94.0,65.2,,2021
Tyhier Tyler,tyhier-tyler-1,/cfb/players/tyhier-tyler-1.html,Army,Ind,12,4,8,50.0,93,2,25.0,1,12.5,11.6,11.00,23.3,7.8,205.2,,2021
Antavious Willis,antavious-willis-1,/cfb/players/antavious-willis-1.html,Southern Mississippi,CUSA,12,9,11,81.8,92,1,9.1,1,9.1,8.4,6.09,10.2,7.7,163.9,,2021
Beau Allen,beau-allen-2,/cfb/players/beau-allen-2.html,Kentucky,SEC,3,8,12,66.7,92,0,0.0,0,0.0,7.7,7.67,11.5,30.7,131.1,,2021
Trenton Bourguet,trenton-bourguet-1,/cfb/players/trenton-bourguet-1.html,Arizona State,Pac-12,4,7,10,70.0,91,1,10.0,0,0.0,9.1,11.10,13.0,22.8,179.4,,2021
Drake Maye,drake-maye-1,/cfb/players/drake-maye-1.html,North Carolina,ACC,4,7,10,70.0,89,1,10.0,0,0.0,8.9,10.90,12.7,22.3,177.8,,2021
Jamarye Joiner,jamarye-joiner-1,/cfb/players/jamarye-joiner-1.html,Arizona,Pac-12,8,4,10,40.0,89,2,20.0,0,0.0,8.9,12.90,22.3,11.1,180.8,,2021
