Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,xpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,awards,Year
JJ Molson,jj-molson-1,/cfb/players/jj-molson-1.html,UCLA,Pac-12,12,40,40,100.0,8,14,57.1,64,,2019
Will Reichard,will-reichard-1,/cfb/players/will-reichard-1.html,Alabama,SEC,5,21,22,95.5,4,7,57.1,33,,2019
Chance Poore,chance-poore-1,/cfb/players/chance-poore-1.html,Kentucky,SEC,9,24,26,92.3,5,9,55.6,39,,2019
Nate Needham,nate-needham-2,/cfb/players/nate-needham-2.html,Bowling Green,MAC,12,21,23,91.3,5,9,55.6,36,,2019
Cayden Camper,cayden-camper-1,/cfb/players/cayden-camper-1.html,Colorado State,MWC,8,18,18,100.0,7,13,53.8,39,,2019
Andrew Strauch,andrew-strauch-1,/cfb/players/andrew-strauch-1.html,Utah,Pac-12,14,1,2,50.0,1,2,50.0,4,,2019
Braxton Davis,braxton-davis-1,/cfb/players/braxton-davis-1.html,Colorado State,MWC,11,5,5,100.0,2,4,50.0,11,,2019
Brayden Narveson,brayden-narveson-1,/cfb/players/brayden-narveson-1.html,Iowa State,Big 12,5,0,0,,2,4,50.0,6,,2019
Bubba Baxa,bubba-baxa-1,/cfb/players/bubba-baxa-1.html,Miami (FL),ACC,13,15,17,88.2,5,10,50.0,30,,2019
Calum Sutherland,calum-sutherland-1,/cfb/players/calum-sutherland-1.html,Oklahoma,Big 12,3,23,23,100.0,2,4,50.0,29,,2019
Casey Legg,casey-legg-1,/cfb/players/casey-legg-1.html,West Virginia,Big 12,5,7,7,100.0,2,4,50.0,13,,2019
Joel Velazquez,joel-velazquez-1,/cfb/players/joel-velazquez-1.html,Boise State,MWC,14,0,0,,1,2,50.0,3,,2019
Jordan Lawless,jordan-lawless-1,/cfb/players/jordan-lawless-1.html,Mississippi State,SEC,1,5,5,100.0,1,2,50.0,8,,2019
Lane McCallum,lane-mccallum-1,/cfb/players/lane-mccallum-1.html,Nebraska,Big Ten,5,10,11,90.9,2,4,50.0,16,,2019
Mason Lawler,mason-lawler-1,/cfb/players/mason-lawler-1.html,Bowling Green,MAC,11,1,1,100.0,1,2,50.0,4,,2019
Ricky Aguayo,ricky-aguayo-1,/cfb/players/ricky-aguayo-1.html,Florida State,ACC,12,41,41,100.0,7,14,50.0,62,,2019
Russell Roberts,russell-roberts-1,/cfb/players/russell-roberts-1.html,SMU,American,11,10,11,90.9,1,2,50.0,13,,2019
Steven Sawicki,steven-sawicki-1,/cfb/players/steven-sawicki-1.html,Clemson,ACC,9,6,6,100.0,1,2,50.0,9,,2019
Spencer Shrader,spencer-shrader-1,/cfb/players/spencer-shrader-1.html,South Florida,American,12,12,12,100.0,4,9,44.4,24,,2019
Brenton King,brenton-king-1,/cfb/players/brenton-king-1.html,Georgia Tech,ACC,11,17,17,100.0,3,7,42.9,26,,2019
Isaac Armstrong,isaac-armstrong-1,/cfb/players/isaac-armstrong-1.html,Nebraska,Big Ten,12,6,7,85.7,2,5,40.0,12,,2019
Joseph Petrino,joseph-petrino-1,/cfb/players/joseph-petrino-1.html,Maryland,Big Ten,12,36,38,94.7,2,5,40.0,42,,2019
Will Harrison,will-harrison-1,/cfb/players/will-harrison-1.html,Rice,CUSA,10,7,8,87.5,2,5,40.0,13,,2019
Cole Talley,cole-talley-1,/cfb/players/cole-talley-1.html,Army,Ind,7,19,20,95.0,1,3,33.3,22,,2019
Jerry Fitschen,jerry-fitschen-1,/cfb/players/jerry-fitschen-1.html,Akron,MAC,12,5,6,83.3,2,6,33.3,11,,2019
Jordan Choukair,jordan-choukair-1,/cfb/players/jordan-choukair-1.html,Oregon State,Pac-12,12,23,24,95.8,2,6,33.3,29,,2019
Ryan Chalifoux,ryan-chalifoux-1,/cfb/players/ryan-chalifoux-1.html,Louisville,ACC,6,22,25,88.0,1,3,33.3,25,,2019
Skyler Southam,skyler-southam-1,/cfb/players/skyler-southam-1.html,BYU,Ind,13,3,3,100.0,1,3,33.3,6,,2019
Turner Davidson,turner-davidson-1,/cfb/players/turner-davidson-1.html,Miami (FL),ACC,2,5,5,100.0,1,3,33.3,8,,2019
Jackson Baltar,jackson-baltar-1,/cfb/players/jackson-baltar-1.html,Buffalo,MAC,12,10,12,83.3,1,4,25.0,13,,2019
Alan Orona,alan-orona-1,/cfb/players/alan-orona-1.html,Texas State,Sun Belt,3,3,3,100.0,0,1,0.0,3,,2019
Dylan Jorgensen,dylan-jorgensen-1,/cfb/players/dylan-jorgensen-1.html,Nebraska,Big Ten,2,5,5,100.0,0,1,0.0,5,,2019
Gavin Peddie,gavin-peddie-1,/cfb/players/gavin-peddie-1.html,Western Michigan,MAC,2,4,4,100.0,0,2,0.0,4,,2019
Jacob Borcila,jacob-borcila-1,/cfb/players/jacob-borcila-1.html,Kansas,Big 12,4,1,1,100.0,0,1,0.0,1,,2019
Jacob Lafree,jacob-lafree-1,/cfb/players/jacob-lafree-1.html,Temple,American,13,1,1,100.0,0,1,0.0,1,,2019
Jonathan Kim,jonathan-kim-2,/cfb/players/jonathan-kim-2.html,North Carolina,ACC,7,2,2,100.0,0,1,0.0,2,,2019
Kenneth Almendares,kenneth-almendares-1,/cfb/players/kenneth-almendares-1.html,Louisiana,Sun Belt,13,2,3,66.7,0,1,0.0,2,,2019
Noah Rauschenberg,noah-rauschenberg-1,/cfb/players/noah-rauschenberg-1.html,Baylor,Big 12,9,4,4,100.0,0,1,0.0,4,,2019
Sean Koetting,sean-koetting-1,/cfb/players/sean-koetting-1.html,Missouri,SEC,9,0,0,,0,1,0.0,0,,2019
Wesley Wells,wesley-wells-1,/cfb/players/wesley-wells-1.html,Georgia Tech,ACC,7,6,7,85.7,0,1,0.0,6,,2019
Zack Long,zack-long-1,/cfb/players/zack-long-1.html,Tulsa,American,12,0,0,,0,1,0.0,0,,2019
Aaron Peart,aaron-peart-1,/cfb/players/aaron-peart-1.html,Liberty,Ind,2,2,2,100.0,0,0,,2,,2019
Adam Stack,adam-stack-1,/cfb/players/adam-stack-1.html,Oregon,Pac-12,2,7,7,100.0,0,0,,7,,2019
Andrew Bagley,andrew-bagley-1,/cfb/players/andrew-bagley-1.html,Army,Ind,2,1,1,100.0,0,0,,1,,2019
Antonio Montero,antonio-montero-1,/cfb/players/antonio-montero-1.html,Rice,CUSA,12,1,1,100.0,0,0,,1,,2019
Asa Fuller,asa-fuller-1,/cfb/players/asa-fuller-1.html,Fresno State,MWC,12,0,1,0.0,0,0,,0,,2019
Barry Brown,barry-brown-5,/cfb/players/barry-brown-5.html,Georgia State,Sun Belt,3,2,3,66.7,0,0,,2,,2019
Ben Patton,ben-patton-1,/cfb/players/ben-patton-1.html,Auburn,SEC,1,2,2,100.0,0,0,,2,,2019
Brady Viles,brady-viles-1,/cfb/players/brady-viles-1.html,UTEP,CUSA,3,0,1,0.0,0,0,,0,,2019
Chris Howard,chris-howard-5,/cfb/players/chris-howard-5.html,Florida,SEC,3,4,4,100.0,0,0,,4,,2019
Daniel Obarski,daniel-obarski-1,/cfb/players/daniel-obarski-1.html,UCF,American,13,2,2,100.0,0,0,,2,,2019
Danny Donley,danny-donley-1,/cfb/players/danny-donley-1.html,Tulsa,American,3,1,1,100.0,0,0,,1,,2019
Dominic DiMaccio,dominic-dimaccio-1,/cfb/players/dominic-dimaccio-1.html,Ohio State,Big Ten,2,2,3,66.7,0,0,,2,,2019
Donovan Murphree,donovan-murphree-1,/cfb/players/donovan-murphree-1.html,New Mexico,MWC,12,0,2,0.0,0,0,,0,,2019
Drew Luckenbaugh,drew-luckenbaugh-1,/cfb/players/drew-luckenbaugh-1.html,Northwestern,Big Ten,4,1,1,100.0,0,0,,1,,2019
Evan Legassey,evan-legassey-1,/cfb/players/evan-legassey-1.html,Troy,Sun Belt,5,2,2,100.0,0,0,,2,,2019
Harrison Leonard,harrison-leonard-1,/cfb/players/harrison-leonard-1.html,Notre Dame,Ind,2,4,4,100.0,0,0,,4,,2019
Isaac Way,isaac-way-1,/cfb/players/isaac-way-1.html,Ole Miss,SEC,1,1,1,100.0,0,0,,1,,2019
Jackson VanSickle,jackson-vansickle-1,/cfb/players/jackson-vansickle-1.html,Charlotte,CUSA,5,1,1,100.0,0,0,,1,,2019
Jacob Swartz,jacob-swartz-1,/cfb/players/jacob-swartz-1.html,Miami (OH),MAC,1,2,2,100.0,0,0,,2,,2019
James Skalski,james-skalski-1,/cfb/players/james-skalski-1.html,Clemson,ACC,15,0,1,0.0,0,0,,0,,2019
