player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Ben Humphreys,51027,LB,DUKE,10,22,1,154,7,1,3,3,37
Frankie Luvu,51028,ED,WASH STATE,12,7,0,341,4,1,1,7,29
Kenny Young,51029,LB,UCLA,11,17,0,324,4,0,2,2,91
Hodari Christian II,51030,ED,W VIRGINIA,3,0,0,343,1,0,0,0,2
Gabe McCoy,51031,LB,UNLV,12,18,2,325,2,1,0,1,64
Frank Ginda,51032,LB,S JOSE ST,13,34,2,285,1,0,2,2,118
Austin Paulhus,51033,ED,NEVADA,12,29,0,239,5,0,1,4,72
Bailey Laolagi,51034,LB,UNLV,7,12,0,325,0,0,1,1,52
Andrew Hauser,51037,LB,AKRON,12,9,1,102,0,1,0,0,39
Chase Christiansen,51042,LB,UTAH ST,11,16,3,329,2,0,3,1,35
Tyrel Dodson,51045,LB,TEXAS A&M,12,23,0,312,4,3,2,6,66
Vosean Joseph,51047,LB,FLORIDA,11,15,0,163,1,1,1,0,38
Shaquille Quarterman,51048,LB,MIAMI FL,11,14,0,220,5,0,2,5,48
Ike Spearman,51051,LB,E MICHIGAN,12,12,1,160,1,0,0,1,41
Isaac Dotson,51054,LB,WASH STATE,8,16,0,341,1,0,1,0,24
Jahlani Tavai,51055,LB,HAWAII,12,26,0,180,6,1,1,7,95
Mike Smith,51059,LB,MIAMI FL,11,6,0,220,1,0,0,0,17
Montrell Custis,51062,CB,OLE MISS,8,0,0,226,0,0,0,0,4
Antonio Blackmon,51064,CB,PURDUE,7,1,0,273,0,0,3,0,6
Zachery Harris,51067,LB,TULANE,12,30,0,319,7,0,0,1,55
Bobby McMillen III,51068,LB,IOWA STATE,2,0,0,193,0,0,0,1,0
Bryce Torneden,51069,S,KANSAS,11,16,0,198,1,0,0,2,52
Jalen Elliott,51071,S,NOTRE DAME,12,7,0,258,3,0,1,0,33
Kendall Randolph,51074,S,KENTUCKY,12,3,0,202,0,1,2,0,23
Jorian Clark,51075,CB,RICE,11,8,0,275,3,0,0,1,14
Nick Fisher,51077,S,COLORADO,10,3,0,143,0,1,6,0,22
Khantrell Burden,51079,LB,FAU,11,3,0,165,1,0,0,0,5
Chris James,51080,CB,ILLINOIS,9,1,0,187,1,0,2,0,9
Julian Love,51081,CB,NOTRE DAME,12,7,0,258,0,3,13,0,44
Luke Hedrick,51085,S,LA MONROE,2,2,0,209,0,0,0,0,9
RC Cox,51087,LB,SMU,4,7,0,287,0,0,0,0,10
Brandon Rusnak,51088,CB,MICHIGAN,12,2,0,222,0,0,5,0,15
Ben Niemann,51099,LB,IOWA,12,14,1,192,0,1,4,1,55
Adekunle Ayinde,51103,CB,MINNESOTA,11,9,0,225,1,1,4,0,38
Ocie Rose,51106,S,FAU,9,1,0,165,0,1,0,0,3
Terez Hall,51107,LB,MISSOURI,12,20,0,229,6,0,2,1,55
DeAndre Pierce,51111,S,BOISE ST,12,19,0,120,2,1,2,0,59
Marcelino McCrary-Ball,51112,CB,INDIANA,3,3,0,190,0,0,0,0,19
Manny Bunch,51113,CB,TULSA,6,6,0,320,0,1,0,0,34
Tim Hough,51118,CB,UNLV,11,1,0,325,0,0,2,0,15
Nilijah Ballew,51120,LB,BOWL GREEN,9,3,0,122,1,0,0,0,13
Chad Moore,51123,LB,OHIO,11,17,2,259,1,3,4,1,53
Dennis Briggs,51128,S,PITTSBURGH,12,2,0,268,0,1,3,0,28
Damon Singleton,51132,LB,BALL ST,9,8,1,117,3,1,0,0,33
Zykiesis Cannon,51134,S,LOUISVILLE,12,6,0,210,0,0,3,0,58
Kylan Nelson,51135,CB,OHIO,12,7,0,259,0,0,5,0,38
Antwuan Davis,51138,CB,TEXAS,7,6,1,311,0,2,0,1,18
Roland Jenkins,51140,S,LA MONROE,12,17,0,209,3,2,4,1,66
Brandon Jones,51143,S,NAVY,12,4,0,237,2,0,1,1,27
A.J. Moore,51146,CB,OLE MISS,12,5,0,226,1,0,3,2,32
Andrew Aneke,51152,CB,TEXAS ST,3,1,0,314,0,0,2,0,7
Jay Bowdry,51155,S,GA SOUTHRN,9,7,0,174,0,1,0,0,31
Kevin Ward,51156,LB,IOWA,2,0,0,192,0,0,0,0,2
Chris Worley,51161,LB,OHIO STATE,9,5,1,260,4,0,1,1,46
Mook Reynolds,51162,CB,VA TECH,11,8,1,337,2,0,2,2,53
Anthony Shegog,51164,LB,VA TECH,12,4,0,337,3,0,1,0,15
Lawrence Austin,51166,CB,GA TECH,11,8,0,176,0,1,5,0,47
Taylor Rapp,51172,S,WASHINGTON,12,13,1,340,0,1,0,2,46
Boobie Hobbs,51175,CB,UTAH,12,3,0,328,1,1,3,0,25
Korrin Wiggins,51177,S,E CAROLINA,11,19,0,156,0,1,0,0,74
Armond Hawkins,51178,S,IDAHO,12,11,2,185,0,2,3,0,36
Drell Greene,51180,S,W KENTUCKY,11,15,2,346,0,2,4,0,40
Justin Sweet,51181,CB,COLO STATE,12,3,0,144,0,0,3,0,19
Jason Beck,51187,S,E MICHIGAN,12,26,0,160,1,1,1,0,58
P.J. Locke,51189,CB,TEXAS,8,12,0,311,0,0,0,0,26
Mike Reynolds,51192,CB,ARMY,11,4,0,114,0,0,5,0,24
Will Johnson,51193,S,OKLAHOMA,10,4,0,261,0,1,5,0,46
Andre Chachere,51194,CB,S JOSE ST,13,6,0,285,0,1,7,0,43
Nick Ingram,51197,S,LA MONROE,3,0,1,209,1,0,1,1,5
Koa Farmer,51199,LB,PENN STATE,12,11,0,266,4,0,0,1,26
Josh Teachey,51200,S,TOLEDO,12,6,0,316,1,0,1,0,39
Joshua Kalu,51203,CB,NEBRASKA,9,12,1,238,0,2,7,0,36
Brian Bell,51204,LB,AKRON,11,9,0,102,0,0,0,1,34
Evrett Edwards,51205,S,IOWA STATE,12,11,1,193,0,0,1,0,40
Minkah Fitzpatrick,51206,CB,ALABAMA,11,9,0,103,5,1,1,1,38
Justin Abston,51207,CB,SO MISS,2,0,0,296,0,0,0,0,1
Kyle Gibson,51209,S,UCF,11,11,1,323,0,4,3,0,36
Taurean Ferguson,51213,CB,VANDERBILT,8,7,0,333,0,1,2,0,25
Leverick Johnson,51217,CB,W KENTUCKY,10,5,0,346,0,1,2,0,17
Khalid McGee,51219,S,USF,9,4,1,327,2,0,0,0,22
Steven Parker,51220,S,OKLAHOMA,12,7,1,261,0,0,4,0,43
Joel Iyiegbuniwe,51221,LB,W KENTUCKY,12,23,1,346,0,0,0,2,76
Nate Ferguson,51226,CB,USF,6,1,0,327,0,0,0,0,2
Curtis Mikell,51231,CB,SO MISS,12,4,1,296,0,1,9,0,49
Chauncey Scissum,51232,S,UNLV,12,12,1,325,0,2,3,0,48
Martin Nwakamma,51235,S,RICE,12,3,0,275,0,0,0,0,36
Shaquille Richmond,51239,S,KANSAS,6,3,0,198,0,0,1,0,17
Rashaan Gaulden,51241,CB,TENNESSEE,12,11,3,307,1,1,2,0,50
Justin Noye,51243,CB,DOMINION,11,6,0,263,0,0,1,1,17
Kahlil Haughton,51244,S,OKLAHOMA,8,9,0,261,0,0,1,0,25
Ethan Aguayo,51246,S,S JOSE ST,10,13,0,285,3,0,0,1,67
Marcus Ward,51248,S,W KENTUCKY,5,0,0,346,0,0,0,0,2
Octavius Spencer,51250,S,UCLA,11,2,0,324,0,1,3,0,27
Julian Hylton,51252,S,ILLINOIS,1,0,0,187,0,0,0,0,0
Javon Hagan,51256,S,OHIO,10,11,0,259,1,1,2,0,52
Daryus Thompson,51261,S,MIAMI OH,9,4,1,221,0,0,1,0,15
Armani Watts,51264,S,TEXAS A&M,12,12,2,312,0,4,4,1,66
C.J. Levine,51265,S,UTSA,11,11,0,331,2,1,1,0,25
Tracy Walker III,51266,S,LA LAFAYET,12,19,0,207,0,2,5,0,76
Ben DeLuca,51269,S,CHARLOTTE,11,24,5,136,0,0,4,0,75
Jarrod Franklin,51274,CB,TULANE,12,13,1,319,2,1,3,1,62
Drue Tranquill,51276,LB,NOTRE DAME,12,16,1,258,3,1,2,2,54
Jason Hall,51279,S,TEXAS,5,1,0,311,2,1,1,1,12
Mike Edwards,51282,S,KENTUCKY,12,17,0,202,5,4,5,1,59
Kristian Welch,51283,LB,IOWA,3,0,0,192,0,1,0,0,4
DeShawn Potts,51290,S,FRESNO ST,9,0,0,169,0,0,1,0,7
Zeke Walker,51292,S,INDIANA,7,2,0,190,0,0,2,0,11
Jake Schlager,51294,S,COLO STATE,12,9,0,144,1,0,1,0,51
Jerel Morrow,51297,CB,OKLA STATE,11,3,0,262,0,1,0,0,10
Tyrone Miller Jr.,51299,S,KANSAS,12,6,0,198,0,0,4,0,45
Ben Hale,51300,S,BOWL GREEN,8,1,0,122,0,0,0,0,9
Khari Willis,51304,S,MICH STATE,12,10,0,223,0,1,3,2,46
Jontrell Rocquemore,51307,S,UTAH ST,8,2,0,329,1,0,0,0,5
Jordan Mitchell,51309,CB,TULSA,3,2,0,320,0,0,0,0,6
Stephan Johnson,51313,S,TEXAS ST,10,4,1,314,0,0,2,0,29
Kris Weatherspoon,51314,S,TROY,12,10,0,318,0,2,2,0,34
Sean Chandler,51315,S,TEMPLE,12,12,1,306,1,2,4,0,57
David Williams,51316,S,S JOSE ST,10,3,1,285,0,0,0,0,11
Corey Griffin,51319,S,GA TECH,11,8,0,176,0,1,5,0,41
Jimbo Davis IV,51322,S,NEVADA,1,0,0,239,0,0,0,0,2
Jonathan Crawford,51325,S,INDIANA,12,12,0,190,0,1,7,0,47
Ashton Preston,51328,CB,N TEXAS,12,7,0,251,0,0,5,0,29
Tyrell Gilbert,51331,CB,CINCINNATI,11,5,2,138,1,0,1,1,31
Terrell Edmunds,51334,S,VA TECH,10,13,0,337,1,2,4,2,39
Will Harris,51336,S,BOSTON COL,12,14,0,121,0,1,3,1,47
Jordan Mack,51337,LB,VIRGINIA,12,35,1,335,2,0,0,5,60
Delvon Randall,51338,S,TEMPLE,12,6,0,306,0,4,2,0,69
J.T. Ibe,51340,S,RICE,10,6,0,275,0,0,3,0,42
Micah Abernathy,51344,S,TENNESSEE,12,13,0,307,2,0,2,0,66
Jarvis McCall Jr.,51345,S,ARIZONA,5,1,0,109,0,0,0,0,2
Neiko Robinson,51353,S,S ALABAMA,1,1,0,288,0,0,0,0,5
Gavin Graham,51354,ED,TEXAS ST,12,11,1,314,1,0,1,1,11
Will Harper,51355,S,TULANE,1,1,0,319,0,0,0,0,0
Jake Rothschiller,51359,S,NEW MEXICO,12,12,2,241,2,1,0,2,55
Jaden Wright,51362,CB,NEW MEX ST,7,7,0,242,0,3,0,0,18
Destri White,51363,S,RICE,12,13,0,275,0,0,1,1,34
Afolabi Laguda,51365,S,COLORADO,12,9,1,143,2,1,2,0,52
Derwin James Jr.,51368,S,FLORIDA ST,12,17,0,167,4,2,10,2,65
Melvin Tyus,51374,S,TROY,12,5,0,318,1,0,0,0,25
Brice McAllister,51375,S,UCONN,3,4,0,146,0,0,0,0,21
Austin Perkins,51377,S,NEW MEX ST,8,3,1,242,0,0,5,0,31
Amani Hooker,51378,S,IOWA,8,2,0,192,0,2,2,0,37
Zedrick Woods,51380,S,OLE MISS,12,6,0,226,2,0,4,1,42
Rhyan England,51382,CB,ARMY,7,8,0,114,2,0,2,0,22
Jacob Nwangwa,51383,S,NEW MEX ST,5,1,0,242,0,0,0,0,10
Jaymon Thomas,51385,S,USF,11,5,0,327,1,0,2,0,37
Cedarius Rookard,51387,S,TROY,12,12,1,318,0,2,0,0,51
Michael Downing Jr.,51388,S,TCU,3,0,0,305,0,0,1,0,3
Khairi Muhammad,51389,S,N TEXAS,12,24,1,251,0,0,2,1,56
Marcus Epps,51391,S,WYOMING,12,10,1,351,0,3,4,1,52
Christian Bertrand,51392,S,RICE,10,3,1,275,0,0,2,1,21
Nate Gaines,51393,S,UTSA,11,6,0,331,0,4,2,0,28
Trayvon Henderson,51394,S,HAWAII,11,7,1,180,0,1,2,3,48
Tajee Fullwood,51396,S,USF,9,1,0,327,0,1,1,0,30
Trevor Walker,51397,S,TEXAS TECH,1,0,0,315,0,0,0,0,1
Jalen Young,51400,S,FAU,12,15,0,165,2,5,1,0,41
Tyree Robinson,51402,S,OREGON,11,7,0,264,0,1,2,0,36
Roderic Teamer,51405,S,TULANE,10,7,1,319,0,0,2,0,40
Jake Stoshak,51409,S,FAU,5,1,0,165,0,0,0,0,0
Matt Merimee,51412,S,MIAMI OH,7,1,0,221,0,1,0,0,2
Adarius Pickett,51413,S,UCLA,12,23,0,324,0,1,2,0,68
Maurice McKnight,51416,S,S JOSE ST,13,10,1,285,1,0,6,1,75
Sean Carter,51417,S,DOMINION,12,8,0,263,1,3,2,0,44
Kenny Gagnon,51418,CB,FRESNO ST,1,0,0,169,0,0,0,0,0
Jourdan Blake,51420,CB,BAYLOR,3,0,0,118,0,0,0,0,5
Jaylinn Hawkins,51423,S,CAL,11,8,1,130,1,1,0,0,36
