player,player_id,position,team_name,player_game_count,franchise_id
Trae Carter-Wells,29304,WR,NEVADA,10,239
AJ Harris,36812,G,MISSOURI,5,229
Noah Igbinoghene,61155,WR,AUBURN,9,115
Darrian Mcneal,61583,WR,OREGON,7,264
Demetri Moore,41862,G,VA TECH,3,337
Austin Cannon,45313,G,VA TECH,3,337
Dylan Bradshaw,41566,C,TROY,5,318
Steven Witchoskey,61077,TE,W KENTUCKY,12,346
Zach Cousar,42233,TE,LA TECH,7,208
Tony Poljan,40148,QB,C MICHIGAN,12,134
Seth Collins,47812,WR,OREGON ST,3,265
Grant Niemiec,45869,FB,MIAMI OH,12,221
Brian Chaffin,36773,C,STANFORD,9,300
Mulbah Car,40929,HB,HOUSTON,9,182
Tarik Black,61442,WR,MICHIGAN,3,222
Ian Leever,46323,T,MIAMI OH,4,221
Hal Roberson,52301,G,USF,5,327
Tre' McKitty,60896,TE,FLORIDA ST,4,167
Fransohn Bickley,21341,WR,AKRON,7,102
Keenen Brown,47580,WR,OKLA STATE,11,262
Brandon Arconado,42120,WR,WASH STATE,11,341
Mason Reed,30300,TE,TEXAS TECH,5,315
Zack Mahoney,46457,QB,SYRACUSE,7,304
Garrett Gray,30526,TE,TEXAS,2,311
Art Thompkins,32905,HB,TOLEDO,12,316
Alex Byers,40054,WR,UTAH ST,9,329
Brad Absher,27936,WR,APP STATE,8,108
Parker Smith,47892,WR,RICE,12,275
A.J. Turner,28484,HB,S CAROLINA,12,289
Ronnie Rivers,57208,HB,FRESNO ST,11,169
Ryan Newsome,38331,WR,ARIZONA ST,9,110
Christian Daimler,29679,T,TEXAS A&M,3,312
Deebo Samuel,48274,WR,S CAROLINA,3,289
Jake Jackson,35884,FB,UTAH,10,328
David Ducre,36102,TE,LSU,6,211
Luke Harris,41383,G,MIDDLE TN,4,224
Austin Deculus,59821,T,LSU,2,211
Chase Van Hoef,37120,C,KENT STATE,3,201
Kani Benoit,38917,HB,OREGON,11,264
Cade Carney,45124,HB,WAKE,6,339
Doug Brenner,46062,G,OREGON,3,264
Jaxson Kincaide,40415,HB,NEVADA,9,239
Oakley Lavallii,40522,FB,C MICHIGAN,9,134
Eric Magwood,45489,T,DOMINION,2,263
Jawon Pass,40916,QB,LOUISVILLE,6,210
Dillon Birden,40590,HB,HOUSTON,6,182
Marcus Williams Jr.,40600,HB,APP STATE,7,108
Daniel Hamm,45875,HB,VIRGINIA,12,335
Jaetavian Toles,61738,WR,TULANE,8,319
Devon Spalding,45840,HB,C MICHIGAN,4,134
Buddy Howell,12888,HB,FAU,11,165
Gerard Wicks,45772,HB,WASH STATE,10,341
Alex Keys,36928,C,W MICHIGAN,5,347
Gabe Nabers,40117,FB,FLORIDA ST,6,167
Adam Solomon,26696,G,ILLINOIS,1,187
Kedrick James,60838,TE,ALABAMA,5,103
Jay Roberson,32110,TE,C MICHIGAN,9,134
Keidren Davis,41215,TE,BALL ST,8,117
Adam Choice,46003,HB,CLEMSON,10,140
Dayall Harris,48130,WR,MIAMI FL,7,220
Sederian Copeland,61741,WR,UAB,7,321
Deionte Noel,28140,G,OKLA STATE,4,262
Tyler Nevens,52262,HB,S JOSE ST,11,285
Nick Chubb,45783,HB,GEORGIA,12,173
Cole Van Lanen,41583,T,WISCONSIN,7,349
CJ Dimry,25333,WR,WASH STATE,7,341
Quinn Mittermeier,32760,T,OKLAHOMA,4,261
Cee Jay Powell,42146,WR,LA TECH,12,208
Cam Thomas,60406,QB,ILLINOIS,4,187
Myles Brennan,60438,QB,LSU,6,211
Kaymen Cureton,60477,QB,NEVADA,3,239
Kenny Pickett,60515,QB,PITTSBURGH,4,268
Juwan Washington,39354,HB,S DIEGO ST,12,284
Quartney Davis,39931,WR,TEXAS A&M,7,312
Marcus Gaines,47957,WR,LA TECH,4,208
Martell Pettaway,40633,HB,W VIRGINIA,12,343
Hezekiah Jones,61717,WR,TEXAS A&M,10,312
Malik Lovette,28249,WR,OREGON,8,264
Xavian Marks,32112,WR,ALABAMA,6,103
Devon Modster,40118,QB,UCLA,4,324
Kyric McGowan,61544,WR,NWESTERN,10,256
Kendall Bussey,34676,HB,TEXAS A&M,11,312
Troy McCormick Jr.,45665,HB,UTAH,12,328
John Williams,42342,WR,MEMPHIS,9,218
Isaiah Harris,34909,WR,KANSAS ST,4,199
Matt Allen,41727,C,MICH STATE,5,223
Jarrison Stewart,34178,WR,TCU,9,305
Mike Majette,45845,HB,INDIANA,5,190
Derek Kief,48249,WR,ALABAMA,7,103
Rob Saulin,60857,TE,BAYLOR,4,118
Francoise Sims II,52232,TE,S JOSE ST,7,285
Reagan Williams,38401,FB,STANFORD,10,300
Isiah Upton,33687,WR,MIDDLE TN,9,224
Shaq Vann,28243,HB,E MICHIGAN,9,160
Cole Kmet,60995,TE,NOTRE DAME,8,258
Tyler Watson,45280,G,WAKE,2,339
Trevor Ruhland,37058,C,NOTRE DAME,5,258
Jared Jackson,28490,WR,FLORIDA ST,8,167
Levi Lewis,60428,QB,LA LAFAYET,4,207
Cameron Cole,40996,WR,C MICHIGAN,7,134
Josh Ali,61359,WR,KENTUCKY,9,202
Liam Eichenberg,41851,T,NOTRE DAME,5,258
Devin Reece,24244,WR,BALL ST,8,117
Nick Orekoya,41144,HB,UMASS,12,216
Andre Williams,61097,WR,AKRON,6,102
AJ Dillon,57165,HB,BOSTON COL,12,121
Taylor Jackson,27576,WR,NAVY,7,237
Dylan Meeks,60832,TE,AKRON,10,102
Griffin King,33229,WR,AUBURN,7,115
Ricky Brookins,13582,HB,INDIANA,10,190
Shawn Robinson,60551,QB,TCU,6,305
Taj McGowan,39668,HB,UCF,10,323
Sony Michel,27589,HB,GEORGIA,11,173
Kyle Spalding,40356,G,S DIEGO ST,3,284
Marquis McClain,40669,WR,AUBURN,9,115
Chavis Dawkins,40977,WR,S CAROLINA,8,289
Zerrick Cooper,40465,QB,CLEMSON,9,140
Xavier Hawkins,47628,WR,OREGON ST,10,265
Warren Ball,45965,HB,AKRON,5,102
Kylen Towner,47460,WR,W KENTUCKY,10,346
Sihiem King,33252,HB,KENTUCKY,12,202
Jalen Thomas,41073,T,N TEXAS,7,251
Bobby Mitchell,28236,WR,FAU,3,165
Jonathan Holland,28302,TE,PENN STATE,10,266
Antoine Wesley,39967,WR,TEXAS TECH,10,315
Quaide Weimerskirch,34936,FB,GA TECH,5,176
Jaylon Watson,36104,FB,WYOMING,11,351
Deonta Moore,13310,HB,S ALABAMA,8,288
Austin Myers,40815,T,TCU,5,305
Brooks Larkin,46729,C,USF,4,327
Quinton Maxwell,35203,QB,OHIO,6,259
Derek Hunter,32426,TE,WASHINGTON,9,340
Brodrick Yancy,44977,WR,TEMPLE,7,306
Taylor Cornelius,46535,QB,OKLA STATE,4,262
Mark Thompson,26401,HB,FLORIDA,11,163
Jack Kraus,47368,TE,ARKANSAS,9,111
Jacob Eason,46444,QB,GEORGIA,6,173
Chawntez Moss,39920,HB,PITTSBURGH,5,268
Alex Gourley,41539,C,DUKE,4,154
Ean Biancardi,41275,G,FAU,5,165
Frank Darby,40988,WR,ARIZONA ST,9,110
Jeremy Kelly,51126,WR,S JOSE ST,9,285
T.J. Storment,41643,T,DOMINION,4,263
Kado Brown,31112,QB,GA SOUTHRN,6,174
Joshua Shelmire,42415,TE,SMU,5,287
Dennis Johnson Jr.,61726,WR,TEXAS ST,11,314
R.J. Raymond,27640,FB,FLORIDA,10,163
Damarea Crockett,27436,HB,MISSOURI,6,229
Stephen Spanellis,41745,T,MICHIGAN,5,222
Kylin Hill,57306,HB,MISS STATE,12,227
Will Tuihalamaka,37359,G,FAU,5,165
D'Andre Swift,57212,HB,GEORGIA,12,173
Charles Nelson,28496,G,S JOSE ST,4,285
Royce Newman,41746,T,OLE MISS,7,226
Sam Dobbs,29111,TE,VANDERBILT,12,333
John Leday,27191,WR,HOUSTON,9,182
Conor Young,33274,WR,NEBRASKA,3,238
Josh Falo,61055,TE,USC,9,326
Nick Holman,61046,TE,UAB,3,321
Xander Yarberough,60977,TE,NEW MEX ST,9,242
Viliamu Mcmoore,60189,T,UTAH ST,4,329
John Bates,42275,TE,BOISE ST,8,120
Kyle Banks,39934,QB,MIDDLE TN,6,224
Samuel Williams,39843,T,LA MONROE,4,209
Ben Knutson,39837,G,VIRGINIA,5,335
Hyleck Foster,31819,WR,MARSHALL,9,214
Michael Warren II,55076,HB,CINCINNATI,12,138
