player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Terrance Hibbler Jr.,191198,DI,MISS STATE,1,0,0,227,0,0,0,0,1
Josaiah Knight,191202,LB,W KENTUCKY,1,0,0,346,0,0,0,0,0
Cyrus Reyes,191207,S,MISS STATE,3,0,0,227,0,0,1,0,0
Dexter Foster,191212,LB,OREGON ST,7,17,0,265,2,0,1,0,33
Will Haverland,191216,ED,OREGON ST,1,0,0,265,0,0,0,0,1
Carson Kolb,191218,TE,OREGON ST,2,0,0,265,0,0,0,0,2
Shamar Meikle,191220,ED,OREGON ST,11,4,0,265,8,0,0,2,18
Chris Jones,191241,LB,SO MISS,12,36,1,296,0,1,1,5,74
Dealyn Evans,191253,DI,TEXAS A&M,13,1,0,312,0,0,0,0,6
Layne Gerke,191256,S,TEXAS A&M,1,0,0,312,0,0,0,0,1
Ronnie Mageo,191292,DI,BAYLOR,4,1,0,118,0,0,0,0,1
Alijah Carnell,191295,DI,IOWA STATE,11,1,0,193,1,0,0,1,3
David Coffey,191296,CB,IOWA STATE,6,1,0,193,0,0,2,0,12
Khijohnn Cummings-Coleman,191297,S,IOWA STATE,5,1,0,193,0,0,1,0,7
Beau Goodwin,191301,LB,IOWA STATE,6,3,0,193,0,0,0,0,5
Marcus Neal Jr.,191309,S,IOWA STATE,12,18,1,193,2,2,1,1,62
Carson Van Dinter,191316,S,IOWA STATE,10,4,0,193,0,0,1,0,9
Connor Welsch,191317,S,IOWA STATE,3,0,0,193,0,0,0,0,2
Ify Obidegwu,191324,CB,OREGON,13,3,0,264,0,1,4,0,16
Dylan Williams,191328,LB,OREGON,5,1,0,264,0,0,0,1,5
Peyton Woodyard,191329,S,OREGON,12,4,0,264,0,1,0,0,18
Tyler Armstead,191330,CB,PENN STATE,2,0,0,266,0,0,0,0,0
Dejuan Lane,191339,S,PENN STATE,11,7,0,266,0,0,0,1,21
Anthony Speca,191342,LB,PENN STATE,4,0,0,266,0,0,0,0,2
Mylachi Williams,191343,ED,PENN STATE,4,0,0,266,1,0,0,0,1
Kenny Woseley Jr.,191344,CB,PENN STATE,10,0,0,266,1,0,0,0,12
Charles Anderson Jr.,191346,ED,TEXAS TECH,4,1,0,315,0,0,0,0,0
Malik Esquerra,191348,S,TEXAS TECH,10,1,0,315,0,0,0,0,6
Ashton Hampton,191349,CB,TEXAS TECH,8,0,0,315,0,0,1,0,6
Oliver Miles III,191351,S,TEXAS TECH,3,1,0,315,0,0,0,0,2
Peyton Morgan,191352,S,TEXAS TECH,10,3,0,315,0,0,3,0,5
Cheta Ofili,191355,ED,TEXAS TECH,9,1,0,315,0,0,0,0,0
Eddy Smith,191356,ED,TEXAS TECH,3,0,0,315,0,0,0,0,0
Keyshawn Williams,191360,DI,TEXAS TECH,3,1,0,315,0,0,0,0,0
Derrick Jameson,191363,HB,UTAH ST,1,0,0,329,0,0,0,0,0
Gio Kafentzis,191365,S,UTAH ST,2,1,0,329,0,0,1,0,1
Malik McConico,191369,S,ARK STATE,1,0,0,113,0,0,1,0,2
Tanner Williams,191375,LB,S DIEGO ST,3,0,0,284,0,0,0,0,1
Peyton Garrett,191517,ED,COLO STATE,1,0,0,144,0,0,0,0,0
