season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,sacks,sacksOpponent,tacklesForLoss,tacklesForLossOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2015,Georgia State,Sun Belt,261.0,299.0,1.0,13.0,9.0,23.0,11.0,7.0,7.0,11.0,13.0,1.0,2.0,133.0,156.0,12.0,15.0,1.0,0.0,877.0,777.0,39.0,29.0,4367.0,2916.0,496.0,452.0,308.0,266.0,15.0,12.0,28.0,19.0,92.0,92.0,852.0,795.0,22645.0,24155.0,0.0,2.0,35.0,295.0,10.0,23.0,407.0,543.0,15.0,17.0,1260.0,2357.0,,,,,81.0,85.0,186.0,210.0,5627.0,5273.0,23.0,22.0
2015,Georgia Tech,ACC,233.0,211.0,13.0,6.0,26.0,11.0,14.0,8.0,8.0,14.0,12.0,1.0,0.0,70.0,175.0,10.0,9.0,0.0,1.0,590.0,440.0,32.0,18.0,1462.0,2435.0,192.0,337.0,81.0,202.0,9.0,10.0,14.0,12.0,38.0,75.0,329.0,582.0,22417.0,20783.0,0.0,0.0,189.0,109.0,23.0,14.0,583.0,422.0,30.0,24.0,3074.0,1981.0,,,,,52.0,56.0,149.0,155.0,4536.0,4416.0,24.0,17.0
2015,Hawai'i,Mountain West,203.0,304.0,7.0,10.0,21.0,19.0,13.0,8.0,8.0,13.0,13.0,0.0,0.0,36.0,246.0,21.0,3.0,1.0,1.0,1130.0,667.0,53.0,25.0,2501.0,2718.0,422.0,363.0,202.0,224.0,3.0,21.0,12.0,23.0,98.0,85.0,847.0,669.0,16729.0,26471.0,1.0,0.0,201.0,209.0,26.0,28.0,425.0,686.0,15.0,33.0,1611.0,3118.0,,,,,49.0,85.0,161.0,190.0,4112.0,5836.0,34.0,11.0
2015,Houston,American Athletic,332.0,252.0,13.0,8.0,26.0,17.0,7.0,14.0,14.0,7.0,14.0,3.0,0.0,342.0,67.0,7.0,21.0,2.0,0.0,777.0,1389.0,33.0,68.0,3477.0,3846.0,432.0,500.0,285.0,278.0,21.0,7.0,22.0,20.0,85.0,96.0,783.0,768.0,26314.0,24086.0,1.0,0.0,302.0,35.0,29.0,16.0,669.0,480.0,46.0,16.0,3301.0,1524.0,,,,,117.0,79.0,233.0,213.0,6778.0,5370.0,14.0,35.0
2015,Idaho,Sun Belt,277.0,284.0,15.0,11.0,24.0,17.0,8.0,11.0,11.0,8.0,12.0,1.0,2.0,45.0,216.0,15.0,6.0,0.0,1.0,747.0,722.0,43.0,27.0,3372.0,2550.0,472.0,322.0,297.0,198.0,6.0,15.0,17.0,22.0,54.0,86.0,511.0,762.0,22778.0,20422.0,0.0,0.0,22.0,197.0,11.0,26.0,458.0,517.0,23.0,39.0,1777.0,3279.0,,,,,76.0,59.0,185.0,146.0,5149.0,5829.0,23.0,17.0
2015,Illinois,Big Ten,245.0,217.0,11.0,11.0,25.0,21.0,9.0,8.0,8.0,9.0,12.0,1.0,0.0,195.0,48.0,8.0,13.0,0.0,0.0,614.0,723.0,31.0,36.0,2921.0,2207.0,519.0,391.0,285.0,223.0,13.0,8.0,16.0,17.0,66.0,63.0,589.0,535.0,21381.0,21819.0,2.0,1.0,290.0,297.0,33.0,27.0,388.0,469.0,13.0,16.0,1551.0,2003.0,,,,,74.0,58.0,204.0,186.0,4472.0,4210.0,17.0,21.0
2015,Indiana,Big Ten,337.0,326.0,13.0,13.0,29.0,28.0,6.0,10.0,10.0,6.0,13.0,2.0,0.0,238.0,2.0,8.0,12.0,0.0,1.0,979.0,878.0,51.0,40.0,3820.0,4079.0,461.0,551.0,269.0,328.0,12.0,8.0,27.0,32.0,91.0,83.0,778.0,779.0,22743.0,24057.0,2.0,1.0,199.0,191.0,18.0,28.0,592.0,487.0,27.0,30.0,2736.0,2544.0,,,,,77.0,88.0,203.0,210.0,6556.0,6623.0,14.0,22.0
2015,Iowa,Big Ten,283.0,270.0,9.0,15.0,14.0,27.0,11.0,8.0,8.0,11.0,14.0,4.0,1.0,321.0,113.0,5.0,19.0,0.0,1.0,797.0,848.0,35.0,36.0,2862.0,3074.0,369.0,493.0,227.0,265.0,19.0,5.0,17.0,17.0,73.0,89.0,683.0,824.0,26571.0,23829.0,0.0,2.0,251.0,180.0,18.0,14.0,568.0,469.0,35.0,11.0,2544.0,1700.0,,,,,80.0,77.0,192.0,210.0,5406.0,4774.0,16.0,27.0
2015,Iowa State,Big 12,257.0,267.0,13.0,6.0,29.0,14.0,12.0,8.0,8.0,12.0,12.0,0.0,1.0,23.0,203.0,12.0,5.0,0.0,1.0,690.0,913.0,38.0,47.0,2716.0,3202.0,411.0,404.0,237.0,247.0,5.0,12.0,18.0,28.0,59.0,73.0,489.0,568.0,22704.0,20496.0,1.0,0.0,383.0,94.0,22.0,16.0,498.0,479.0,18.0,21.0,2184.0,2239.0,,,,,78.0,82.0,195.0,176.0,4900.0,5441.0,24.0,13.0
2015,Kansas,Big 12,212.0,341.0,7.0,9.0,26.0,13.0,11.0,9.0,9.0,11.0,12.0,1.0,2.0,159.0,189.0,14.0,9.0,1.0,0.0,1143.0,384.0,57.0,19.0,2623.0,3524.0,452.0,402.0,243.0,267.0,9.0,14.0,12.0,27.0,70.0,53.0,674.0,461.0,20299.0,22901.0,0.0,3.0,26.0,244.0,13.0,32.0,445.0,565.0,10.0,39.0,1355.0,3206.0,,,,,76.0,73.0,208.0,161.0,3978.0,6730.0,25.0,18.0
