id,team,name,firstName,lastName,weight,height,jersey,position,hometown,teamColor,teamColorSecondary,season
-1029067,Penn State,Adam De Boef,Adam,De Boef,267.0,77.0,69.0,G,State College,#041E42,#FFFFFF,2015
-1026113,Northwestern,Adam Lemke-Bell,Adam,Lemke-Bell,288.0,77.0,78.0,OL,Oak Park,#582c83,#ffffff,2015
-1032372,South Florida,Adam Robles,Adam,Robles,206.0,75.0,16.0,QB,Ocala,#004A36,#231f20,2015
546627,Clemson,Adrian Baker,Adrian,Baker,180.0,71.0,6.0,CB,Hallandale,#f56600,#522d80,2015
-1035484,Texas State,Adrian Bellard,Adrian,Bellard,314.0,77.0,64.0,OT,Washington,#4e1719,#b4975a,2015
531058,Texas,Adrian Colbert,Adrian,Colbert,,72.0,25.0,S,Mineral Wells,#c15d26,#ffffff,2015
-1034338,Tennessee,Adrian Gamble,Adrian,Gamble,166.0,73.0,84.0,WR,Charlotte,#ff8200,#58595b,2015
546259,Colorado State,Adrian Robinson,Adrian,Robinson,,77.0,85.0,DL,Charlotte,#1e4d2b,#c8c372,2015
549586,Colorado,Afolabi Laguda,Afolabi,Laguda,205.0,73.0,1.0,DB,Snellville,#CFB87C,#000000,2015
3129089,Army,Ahmad Bradshaw,Ahmad,Bradshaw,205.0,71.0,17.0,QB,Chicago,#ce9c00,#231f20,2015
-1015372,Kansas State,Ajahne Brager,Ajahne,Brager,303.0,75.0,76.0,OL,Magnolia,#3c0969,#e2e3e4,2015
550209,Miami (OH),AJ Burdine,AJ,Burdine,285.0,74.0,69.0,DL,Cincinnati,#a4000c,#f0f0f0,2015
-1023342,Nebraska,AJ Bush,AJ,Bush,220.0,75.0,6.0,QB,Alpharetta,#d00000,#ffffff,2015
3116087,Virginia Tech,AJ Bush,AJ,Bush,225.0,76.0,1.0,QB,Atlanta,#630031,#cf4520,2015
3921565,Florida State,A.J. Westbrook,A.J.,Westbrook,193.0,72.0,19.0,DB,Daytona Beach,#782f40,#ceb888,2015
3722361,Boise State,Akilian Butler,Akilian,Butler,182.0,70.0,7.0,WR,Dallas,#0033a0,#fa4616,2015
3907934,Bucknell,Alan Butler,Alan,Butler,180.0,73.0,2.0,WR,Lubbock,#000060,#00316e,2015
-1024419,New Mexico State,Albert Delgado,Albert,Delgado,,,81.0,WR,,#891216,#000000,2015
3931437,Arizona,Albert Green,Albert,Green,,70.0,46.0,S,Tucson,#0c234b,#ab0520,2015
-1029090,Penn State,Albert Hall,Albert,Hall,298.0,76.0,71.0,OT,Warwick,#041E42,#FFFFFF,2015
3728248,Clemson,Albert Huggins,Albert,Huggins,305.0,75.0,67.0,DT,Orangeburg,#f56600,#522d80,2015
-1005893,Buffalo,Albert McCoy,Albert,McCoy,300.0,76.0,75.0,OL,St. Petersburg,#041A9B,#ebebeb,2015
534326,Virginia,Albert Reid,Albert,Reid,,69.0,5.0,?,Washington,#232d4b,#f84c1e,2015
-1039983,Utah,Albert Semeatu,Albert,Semeatu,,,,RB,West Valley City,#ea002a,#ffffff,2015
3126039,Northern Illinois,Albert Smalls,Albert,Smalls,207.0,73.0,1.0,CB,Miramar,#F1122C,#cc0000,2015
549897,Missouri,Alec Abeln,Alec,Abeln,305.0,75.0,57.0,OL,St. Louis,#f1b82d,#000000,2015
3125891,UConn,Alec Bloom,Alec,Bloom,253.0,78.0,86.0,TE,Ligonier,#0c2340,#f1f2f3,2015
-1003636,Auburn,Alec Brown,Alec,Brown,210.0,74.0,32.0,DL,Trussville,#002b5c,#f26522,2015
3122917,Florida State,Alec Eberle,Alec,Eberle,295.0,76.0,54.0,OL,Mechanicsville,#782f40,#ceb888,2015
3125835,Eastern Michigan,Alec Hullibarger,Alec,Hullibarger,210.0,72.0,37.0,RB,Temperance,#00331b,#f0f0f0,2015
531569,UL Monroe,Alec Osborne,Alec,Osborne,,75.0,89.0,TE,Geismar,#231F20,#b18445,2015
548475,Chattanooga,Alejandro Bennifield,Alejandro,Bennifield,220.0,75.0,15.0,QB,Dallas,#00386b,#dca71d,2015
3919510,Wake Forest,Alex Bachman,Alex,Bachman,190.0,72.0,17.0,WR,Moorpark,#9E7E38,#000000,2015
-1000158,Air Force,Alex Backenstoe,Alex,Backenstoe,225.0,72.0,35.0,RB,Hilliard,#004a7b,#ffffff,2015
-1028419,Oregon,Alex Balducci,Alex,Balducci,310.0,76.0,56.0,DL,Portland,#007030,#fee11a,2015
-1024795,North Carolina,Alex Bales,Alex,Bales,225.0,75.0,51.0,LB,Kansas City,#7bafd4,#13294b,2015
3886636,Kansas State,Alex Barnes,Alex,Barnes,227.0,73.0,34.0,RB,Pittsburg,#3c0969,#e2e3e4,2015
-1025108,NC State,Alex Barr,Alex,Barr,318.0,80.0,71.0,OT,Fayetteville,#cc0000,#ffffff,2015
534385,San Diego State,Alex Barrett,Alex,Barrett,,75.0,58.0,DL,Mesa,#c41230,#000000,2015
3921997,Charlotte,Alex Barrow,Alex,Barrow,,71.0,17.0,WR,Matthews,#046A38,#B9975B,2015
-1026348,Notre Dame,Alex Bars,Alex,Bars,315.0,78.0,71.0,OL,Nashville,#0c2340,#c99700,2015
551226,Navy,Alex Barta,Alex,Barta,,75.0,18.0,P,Clarkston,#00225b,#b5a67c,2015
533184,Nevada,Alex Bertrando,Alex,Bertrando,,74.0,56.0,LB,Loomis,#002d62,#ffffff,2015
