year,school_id,school,conference,rank,overall_w,overall_l,overall_pct,conf_w,conf_l,conf_pct,offense_ppg,defense_ppg,srs,sos,ap_pre,ap_high,ap_post,notes
2016,north-carolina,North Carolina,ACC (Coastal),10,8,5,.615,5,3,.625,32.3,24.9,8.25,1.79,22,15,,
2016,pittsburgh,Pitt,ACC (Coastal),11,8,5,.615,5,3,.625,40.9,35.2,8.12,3.51,,22,,
2016,georgia-tech,Georgia Tech,ACC (Coastal),12,9,4,.692,4,4,.500,28.2,24.5,7.13,2.90,,,,
2016,duke,Duke,ACC (Coastal),13,4,8,.333,1,7,.125,23.3,28.2,-1.36,3.39,,,,
2016,virginia,Virginia,ACC (Coastal),14,2,10,.167,1,7,.125,22.5,33.8,-8.25,1.84,,,,
2016,temple,Temple,American (East),15,10,4,.714,7,1,.875,32.4,18.4,8.97,-3.32,,23,,
2016,south-florida,South Florida,American (East),16,11,2,.846,7,1,.875,43.8,31.6,7.83,-2.70,,19,19,
2016,central-florida,UCF,American (East),17,6,7,.462,4,4,.500,28.8,24.6,-0.01,-1.86,,,,
2016,cincinnati,Cincinnati,American (East),18,4,8,.333,1,7,.125,19.3,26.9,-9.17,-1.58,,,,
2016,connecticut,Connecticut,American (East),19,3,9,.250,1,7,.125,14.8,28.1,-13.30,-2.55,,,,
2016,east-carolina,East Carolina,American (East),20,3,9,.250,1,7,.125,27.0,36.1,-9.69,-0.11,,,,
2016,tulsa,Tulsa,American (West),22,10,3,.769,6,2,.750,42.5,29.8,6.91,-3.71,,,,
2016,houston,Houston,American (West),23,9,4,.692,5,3,.625,35.8,23.5,5.44,-1.95,15,6,,
2016,memphis,Memphis,American (West),24,8,5,.615,5,3,.625,38.8,28.8,2.96,-1.11,,,,
2016,southern-methodist,SMU,American (West),25,5,7,.417,3,5,.375,27.7,36.3,-4.84,-0.34,,,,
2016,tulane,Tulane,American (West),26,4,8,.333,1,7,.125,24.1,27.7,-6.54,-2.21,,,,
2016,oklahoma,Oklahoma,Big 12,27,11,2,.846,9,0,1.000,43.9,28.8,14.98,3.60,3,3,5,
2016,oklahoma-state,Oklahoma State,Big 12,28,10,3,.769,7,2,.778,38.6,26.5,11.16,1.70,21,10,11,
2016,west-virginia,West Virginia,Big 12,29,10,3,.769,7,2,.778,31.2,24.0,9.57,2.03,,10,18,
2016,kansas-state,Kansas State,Big 12,30,9,4,.692,6,3,.667,32.2,22.3,8.09,1.33,,,,
2016,texas-christian,Texas Christian,Big 12,31,6,7,.462,4,5,.444,31.0,28.0,2.63,1.47,13,13,,
2016,baylor,Baylor,Big 12,32,7,6,.538,3,6,.333,34.6,29.0,3.01,0.39,23,8,,
2016,texas,Texas,Big 12,33,5,7,.417,3,6,.333,31.9,31.5,1.75,2.42,,11,,
2016,texas-tech,Texas Tech,Big 12,34,5,7,.417,3,6,.333,43.7,43.5,1.34,1.50,,,,
2016,iowa-state,Iowa State,Big 12,35,3,9,.250,2,7,.222,27.7,31.3,-4.43,1.65,,,,
2016,kansas,Kansas,Big 12,36,2,10,.167,1,8,.111,20.3,37.3,-10.65,2.52,,,,
2016,penn-state,Penn State,Big Ten (East),37,11,3,.786,8,1,.889,37.6,25.4,15.72,5.44,,5,7,
2016,ohio-state,Ohio State,Big Ten (East),38,11,2,.846,8,1,.889,39.4,15.5,18.82,6.59,6,2,6,
2016,michigan,Michigan,Big Ten (East),39,10,3,.769,7,2,.778,40.3,14.1,17.56,4.79,7,2,10,
2016,indiana,Indiana,Big Ten (East),40,6,7,.462,4,5,.444,25.8,27.2,1.38,2.69,,,,
2016,maryland,Maryland,Big Ten (East),41,6,7,.462,3,6,.333,25.8,29.5,0.07,1.60,,,,
2016,michigan-state,Michigan State,Big Ten (East),42,3,9,.250,1,8,.111,24.1,27.8,-1.79,4.29,12,8,,
2016,rutgers,Rutgers,Big Ten (East),43,2,10,.167,0,9,.000,15.7,37.5,-6.97,4.95,,,,
2016,nebraska,Nebraska,Big Ten (West),45,9,4,.692,6,3,.667,26.5,23.9,7.55,2.94,,7,,
2016,iowa,Iowa,Big Ten (West),46,8,5,.615,6,3,.667,24.9,18.8,6.81,2.11,17,13,,
2016,minnesota,Minnesota,Big Ten (West),47,9,4,.692,5,4,.556,29.3,22.1,8.65,1.65,,,,
2016,northwestern,Northwestern,Big Ten (West),48,7,6,.538,5,4,.556,26.0,22.2,5.46,3.07,,,,
2016,illinois,Illinois,Big Ten (West),49,3,9,.250,2,7,.222,19.7,31.9,-7.75,3.75,,,,
2016,purdue,Purdue,Big Ten (West),50,3,9,.250,1,8,.111,24.6,38.3,-8.96,1.29,,,,
2016,western-kentucky,Western Kentucky,CUSA (East),51,11,3,.786,7,1,.875,45.5,24.6,8.68,-4.03,,,,
2016,old-dominion,Old Dominion,CUSA (East),52,10,3,.769,7,1,.875,35.1,27.2,1.11,-6.51,,,,
2016,middle-tennessee-state,Middle Tennessee State,CUSA (East),53,8,5,.615,5,3,.625,39.7,35.8,-5.53,-6.99,,,,
2016,florida-international,Florida International,CUSA (East),54,4,8,.333,4,4,.500,24.0,34.8,-12.82,-4.74,,,,
2016,florida-atlantic,Florida Atlantic,CUSA (East),55,3,9,.250,2,6,.250,26.4,39.8,-14.60,-5.68,,,,
2016,marshall,Marshall,CUSA (East),56,3,9,.250,2,6,.250,26.4,35.3,-13.59,-4.59,,,,
2016,charlotte,Charlotte,CUSA (East),57,4,8,.333,,,,25.2,34.6,-12.51,-5.76,,,,
2016,texas-san-antonio,UTSA,CUSA (West),59,6,7,.462,5,3,.625,29.2,27.9,-3.92,-5.07,,,,
